Operator Number,Operator Name,Location,Leases
053321,BARROW-SHAVER RESOURCES CO.,"Tyler, TX 75703",74
108799,"BURK ROYALTY CO., LTD.","Wichita Falls, TX 76308",1014
154375,CITIES SERVICE OIL & GAS CORP.,"Tulsa, OK 74102",
195853,"CZAR RESOURCES, INC.","Dallas, TX 75240",
220896,DIVERSIFIED LAND & EXPLOR. CO.,"Los Angeles, CA 90024",
323020,"GRAHAM EXPLORATION, LTD.","Houston, TX 77210",
334200,"GRIMM, JACK F.","Abilene, TX 79604",
480955,LADD PETROLEUM CORP.,"Houston, TX 77242",
622726,"OMNI-EXPLORATION, INC.","Irving, TX 75062",
727892,"ROSE CITY RESOURCES, LLC","Tyler, TX 75703",151
829460,SUNDANCE OIL COMPANY,"Denver, CO 80202",
830280,"SUPERIOR OIL COMPANY, THE","Houston, TX 77046",
844110,TEXACO INC.,"Midland, TX 79702",
856910,"THOR ENERGY OF LOUISIANA, INC.","Shreveport, LA 71129",
