Operator Number,Operator Name,Location,Leases
953535,31 OPERATING LLC,"Kilgore, TX 75663",
856467,84 ENERGY LLC,"Flatonia, TX 78941",141
000202,A & D EXPLORATION COMPANY,"Rockport, TX 78381",
003925,"ADA RESOURCES, INC.","Houston, TX 77001",
007859,"ADDISON OIL, LLC","Addison, TX 75001",
015141,"ALPINE RESOURCES, INC.","Houston, TX 77002",
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",
017999,"AMERICAN DISPOSAL SERVICES, INC.","Sealy, TX 77474",
017995,"AMERICAN DISPOSAL SERVICES,LTD","Marble Falls, TX 78654",
020413,"AMMEX PETROLEUM, INC.","El Paso, TX 79901",
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",
020528,ANADARKO E&P ONSHORE LLC,"Houston, TX 77046",940
022548,"ANDERSON PETRO-EQUIPMENT, INC.","Montgomery, TX 77356",
024124,"ANDRESS PETROLEUM, INC.","Houston, TX 77002",
025637,ANR PRODUCTION COMPANY,"Houston, TX 77046",
102140,"ARCADIA ENERGY RESOURCES, LLC","Oklahoma City, OK 73102",38
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
029348,ARCO OIL & GAS CO.-SILSBEE,"Lafayette, LA 70505",
029710,ARGENT ENERGY (US) HOLDINGS INC.,"Sugar Land, TX 77479",
036059,"ATINUM OPERATING, INC.","Houston, TX 77002",
036073,"ATKINSON, CLIFFORD III","San Antonio, TX 78217",
036550,ATLANTIC RICHFIELD CO.,"Houston, TX 77252",
036587,ATLAS OPERATING LLC,"Houston, TX 77056",258
037057,AUSTIN RESOURCES CORPORATION,"Houston, TX 77027",
039136,AXIS ENERGY CORPORATION,"Roswell, NM 88202",
040753,"B & M OPERATING CO., INC.","Houston, TX 77006",
049250,BARGO ENERGY COMPANY,"Houston, TX 77010",
051314,"BARNETT OIL INVESTMENTS, INC.","Hobbs, NM 88240",
054700,BASS ENTERPRISES PRODUCTION CO.,"Fort Worth, TX 76102",
056580,"BAXTER, MURPHY H.","Houston, TX 77002",
057860,BAY ROCK OPERATING COMPANY,"San Antonio, TX 78212",19
058833,BAYSHORE EXPLORATION LLC,"Bellville, TX 77418",
066993,BERENERGY CORPORATION,"Denver, CO 80217",
068468,"BEXCO OPERATING, INC.","College Sta, TX 77845",
068620,BHP PETROLEUM (USA) INC.,"Greenwood VLG, CO 80111",
069160,"BIG ""6"" DRILLING COMPANY","Houston, TX 77063",
069432,BIG GAS OIL LLC,"Longview, TX 75604",
078010,BOCK & BACON,"Houston, TX 77098",
078025,"BOCK & BACON, INC.","Houston, TX 77098",
081567,BON WIER PRODUCING COMPANY,"Monroe, LA 71207",
090870,BRG LONE STAR LTD.,"Tulsa, OK 74136",415
091093,"BRIDGE OIL COMPANY, L. P.","Midland, TX 79702",
095715,BROCK PETROLEUM CORPORATION,"Houston, TX 77002",
105997,BUCKHORN OILFIELD SERVICE INC,"Kilgore, TX 75663",1
042191,"BXP OPERATING, LLC","Houston, TX 77079",1
130767,CARBON OIL INC,"Vidor, TX 77670",1
139579,CASHCO ENERGY CORP.,"Victoria, TX 77901",
139582,CASHCO OIL COMPANY,"Houston, TX 77024",
139584,CASKIDS OPERATING COMPANY,"Houston, TX 77027",
140550,CAVALLA ENERGY EXPLORATION CO.,"Houston, TX 77002",
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
148113,CHEVRON U. S. A. INC.,"Midland, TX 79706",868
150790,CHRISTENSEN & MATTHEWS,"Houston, TX 77040",
153410,CICO OIL & GAS COMPANY,"Houston, TX 77057",
153471,"CIMARRON ENGINEERING, LLC","Kingsville, TX 78364",22
155239,"CLARK RESOURCES, INC.","Houston, TX 77238",
161397,CNG PRODUCING COMPANY,"New Orleans, LA 70112",
161945,"COASTLINE EXPLORATION, INC.","Stafford, TX 77477",
164464,"CODY ENERGY, INC.","Houston, TX 77077",
167025,"COKINOS, INC.","Beaumont, TX 77701",
168931,COLONIAL EXPLORATION COMPANY,"Houston, TX 77027",
172230,CONOCO INC.,"Houston, TX 77252",
173749,CONTINENTAL OPERATING CO.,"Houston, TX 77024",
173777,"CONTINENTAL RESOURCES, INC.","Oklahoma City, OK 73126",202
173860,"CONTOUR EXPL AND PROD, LLC","Dallas, TX 75204",3
174000,CONVEST ENERGY CORPORATION,"Houston, TX 77057",
176882,"COPESTONE OPERATING, LLC","Houston, TX 77019",1
177902,CORAL PETROLEUM DEVELOPMENT INC.,"Houston, TX 77024",
178381,CORE E & P CORP.,"Victoria, TX 77902",
