Operator Number,Operator Name,Location,Leases
003978,"ADAMS AFFILIATES, INC.","Tulsa, OK 74121",
015100,"ALPAR RESOURCES, INC.","Perryton, TX 79070",
026800,"AOG, INC.","Norman, OK 73070",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
033228,"ARROW OIL & GAS, LLC","Norman, OK 73070",9
039809,"B & B OPERATING, L.P.","Amarillo, TX 79102",
046630,BAKER & TAYLOR DRILLING CO.,"Amarillo, TX 79105",
058873,"BAYTECH, INC.","Midland, TX 79702",
071349,"BIRD CREEK RESOURCES, INC.","Tulsa, OK 74121",
074344,"BLAKE PRODUCTION COMPANY, INC.","Oklahoma City, OK 73118",
106406,BUFFCO PRODUCTION INC.,"Longview, TX 75606",163
118732,"BYNG ENERGY GROUP, INC.","Enid, OK 73703",
120530,"C & K PETROLEUM, INC.","Midland, TX 79702",
126775,CAMBRIDGE & NAIL,"Amarillo, TX 79109",
126783,"CAMBRIDGE PRODUCTION, INC.","Amarillo, TX 79120",
140905,CELERON OIL & GAS CO.,"Houston, TX 77002",
154235,CITATION OIL & GAS CORP.,"Houston, TX 77269",132
161639,COASTAL OIL & GAS CORPORATION,"Houston, TX 77252",
173783,"CONTINENTAL TREND RESOURCES, INC","Oklahoma City, OK 73126",
206885,"DAVIS, WILLIAM H.","Tulsa, OK 74103",
102146,EDH DISPOSALS LLC,"Oklahoma City, OK 73101",
251926,ENERGAS COMPANY,"Lubbock, TX 79408",
253275,EP OPERATING COMPANY,"Dallas, TX 75201",
256950,"EXECUTIVE PROPERTIES, INC.","Amarillo, TX 79110",
257062,EXTEX OPERATING COMPANY,"Houston, TX 77057",486
257097,EXXON CORP.,"Houston, TX 77210",
263501,"FARRELL, ROY JR.","Vernon, TX 76384",
277925,"FORTAY, INC.","Sunray, TX 79086",20
257610,"FX ENERGY OPERATING, LLC","Canadian, TX 79014",63
302450,GETTY OIL CO.,"Midland, TX 79702",
328780,GREAT WESTERN DRILLING COMPANY,"Midland, TX 79701",2
339493,GUNN OIL COMPANY,"Wichita Falls, TX 76307",57
357093,HARKEN EXPLORATION COMPANY,"Houston, TX 77079",
399550,"HOOVER & BRACKEN ENERGIES, INC.","Oklahoma City, OK 73118",
408850,"HUBER, J. M., CORPORATION","Edison, NJ 08837",
412175,HUGOTON ENERGY CORPORATION,"Oklahoma City, OK 73113",
432283,"JETTA OPERATING COMPANY, INC.","Fort Worth, TX 76102",126
450610,"KANA RESOURCES, INC.","Dallas, TX 75243",
453170,"KEBO OIL & GAS, INC.","Portland, TX 78374",52
480959,"LADDEX, LTD.","Amarillo, TX 79102",
491563,"LBO ENERGY, INC.","Kentfield, CA 94914",
493435,"LDX OPERATING COMPANY, LLC.","Amarillo, TX 79102",4
501545,"LINN OPERATING, INC.","Houston, TX 77002",
501480,"LINN OPERATING, LLC","Houston, TX 77002",
514720,LYCO ENERGY CORPORATION,"Dallas, TX 75206",
537075,MBB OPERATORS INC.,"Amarillo, TX 79101",
560930,"MEREX RESOURCES, INC.","Amarillo, TX 79159",
561824,MESA OPERATING CO.,"Irving, TX 75039",
561825,MESA OPERATING LTD PARTNERSHIP,"Amarillo, TX 79189",
562580,MEXTEX OPERATING COMPANY,"Austin, TX 78734",
601747,"NEAS OPERATING, LLC","Wimberley, TX 78676",
100325,"NEC Operating, LLC","Southlake, TX 76092",90
628574,"OVERFLOW ENERGY, LLC","Booker, TX 79005",
634185,PAGE PETROLEUM INC.,"Canada, 00100",
665748,"PIONEER NATURAL RES. USA, INC.","Irving, TX 75038",3388
668898,"POGO PANHANDLE 2004, L.P.","Houston, TX 77002",
668978,"POLARIS OPERATING, LLC","Dallas, TX 75225",4
676084,PRESIDIO PETROLEUM LLC,"Fort Worth, TX 76102",923
677050,PRIDE ENERGY COMPANY,"Tulsa, OK 74170",17
712840,"RIO PETROLEUM, INC.","Amarillo, TX 79102",23
750186,SCARTH OIL & GAS CO.,"Amarillo, TX 79101",
760218,SCOUT ENERGY MANAGEMENT LLC,"Dallas, TX 75240",3159
761701,SEAGULL ENERGY E&P INC.,"Houston, TX 77002",
761707,SEAGULL MIDCON INC.,"Houston, TX 77002",
809930,SPINDLETOP OIL & GAS COMPANY,"Dallas, TX 75230",52
811975,"STALLION ENERGY, INC.","Houston, TX 77060",
817555,STEPHENS & JOHNSON OPERATING CO.,"Wichita Falls, TX 76307",143
823348,STONE & WEBSTER ENGINEERING CORP,"Amarillo, TX 79105",
829612,"SUNLIGHT EXPLORATION, INC.","Canyon, TX 79015",8
876645,UNION PACIFIC RESOURCES COMPANY,"Fort Worth, TX 76101",
920510,WHITMAR EXPLORATION COMPANY,"Denver, CO 80202",
