Operator Number,Operator Name,Location,Leases
953592,3TEC ENERGY CORPORATION,"Houston, TX 77002",
953760,4R OIL COMPANY,"Tyler, TX 75703",
953761,5R OIL COMPANY,"Tyler, TX 75703",
000895,ABADOU OIL CO.,"San Mateo, CA 94402",
003645,"AC EXPLORATION, LLC","Houston, TX 77024",17
008555,AETHON ENERGY OPERATING LLC,"Dallas, TX 75251",262
008742,AGUA LIBRE MIDSTREAM LLC,"Fort Worth, TX 76102",
009765,AL-TX OPERATING INC.,"Plum, TX 78952",
015730,ALTAIR ENERGY CORP.,"Tyler, TX 75702",
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020467,AMPLIFY ENERGY OPERATING LLC,"Houston, TX 77002",498
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",
020528,ANADARKO E&P ONSHORE LLC,"Houston, TX 77046",940
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",
024126,"ANDREW ALAN EXPLORATION, INC.","Kilgore, TX 75663",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
028724,ARCADIA EXPL. & PROD. COMPANY,"Kilgore, TX 75663",
028730,ARCADIA REFINING CO.,"Tyler, TX 75701",
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
029588,"ARENA RESOURCES, L. L. C.","Longview, TX 75608",
030584,"ARK-LA-TEX ENERGY, L.L.C.","Shreveport, LA 71101",28
030770,ARKANSAS LOUISIANA GAS CO.,"Shreveport, LA 71151",
030790,ARKLA EXPLORATION CO.,"Shreveport, LA 71151",
030802,"ARKLA, INC.","Houston, TX 77002",
030823,ARLEN CORPORATION,"Houston, TX 77077",
031587,ARMOR RESOURCES LLC,"Longview, TX 75604",
033512,"ARROWHEAD ENERGY EXP., LLC","Baton Rouge, LA 70816",
033514,"ARROWHEAD ENTERPRISES, INC.","Baton Rouge, LA 70816",
036059,"ATINUM OPERATING, INC.","Houston, TX 77002",
036550,ATLANTIC RICHFIELD CO.,"Houston, TX 77252",
036562,"ATLANTIS OIL COMPANY, INC.","Tyler, TX 75701",36
036618,ATROPOS EXPLORATION COMPANY,"Dallas, TX 75225",23
036855,"AUGUSTA OIL & GAS, INC.","San Antonio, TX 78280",
037046,"AUSTEX ENERGY, INC.","Granbury, TX 76048",
037680,AUSTRAL OIL COMPANY INCORPORATED,"Sulphur, LA 70663",
040765,"B & N PETROLEUM, INC.","Longview, TX 75606",
041575,B SHARP OPERATING,"Midland, TX 79707",
042327,"BACHTELL OIL & GAS, LTD.","Longview, TX 75605",11
042326,"BACHTELL, CHARLES RAY","Longview, TX 75605",
042366,"BACKUS, SAM W.L.","Bossier City, LA 71112",
048418,"BANKHEAD, ELTON","Plano, TX 75023",
048539,BANNER OIL & GAS LLC,"Oklahoma City, OK 73159",
053321,BARROW-SHAVER RESOURCES CO.,"Tyler, TX 75703",74
053974,"BASA RESOURCES, INC.","Dallas, TX 75254",754
054310,"BASIC ENERGY SERVICES, INC.","Midland, TX 79702",
054313,"BASIC ENERGY SERVICES, L.P.","Fort Worth, TX 76102",
054700,BASS ENTERPRISES PRODUCTION CO.,"Fort Worth, TX 76102",
058848,BAYOU PETROLEUM CORPORATION,"Monroe, LA 71211",
061544,"BECKVILLE DISP OPERATIONS, LLC","Henderson, TX 75652",
070370,BIG RUN PRODUCTION COMPANY,"Tyler, TX 75701",15
070737,BIGFOOT ENERGY SERVICES LLC,"Carthage, TX 75633",
072523,"BISON ENERGY PARTNERS, INC.","Houston, TX 77060",
072519,"BISON ENERGY PARTNERS, LTD.","Houston, TX 77060",
072582,"BLACK BAYOU MANAGEMENT CO., INC.","Shreveport, LA 71101",
072634,"BLACK GOLD PROD. SERVICES, INC.","Hammond, LA 70403",
075728,BLEVCO ENERGY INC.,"Lufkin, TX 75901",
075784,"BLOCK ""T"" PETROLEUM, INC.","Tyler, TX 75707",59
076741,"BLUE DOME OPERATING, LLC","Tulsa, OK 74103",8
077693,"BOBCAT RESOURCES, L.L.C.","Marshall, TX 75672",
084081,BOWERMAN ENERGY COMPANY,"Arlington, TX 76004",
084097,"BOWLES ENERGY, INC.","Longview, TX 75601",42
084099,"BOWLES PROPERTIES, INC.","Longview, TX 75606",
040798,BP AMERICA PRODUCTION COMPANY,"Denver, CO 80202",
085370,BP PROD. CORP.,"Richardson, TX 75083",
085408,BPX OPERATING COMPANY,"Denver, CO 80202",1191
088595,"BRAMMER ENGINEERING, INC.","Shreveport, LA 71101",9
088600,"BRAMMER PETROLEUM, INC.","Gainesville, TX 76241",33
088604,"BRAMMER-KEYSTONE ENERGY, L.L.C.","Shreveport, LA 71101",
088620,"BRANDON ENERGY, INC.","Bullard, TX 75757",
088639,BRANGUS ENERGY LLC,"Kilgore, TX 75663",14
090732,BREITBURN OPERATING L.P.,"Houston, TX 77002",38
090775,"BRENNAN, HARRY W., JR.","Longview, TX 75607",
090873,"BRG PETROLEUM, INC.","Tulsa, OK 74136",
093421,"BRINT, FORD","Waskom, TX 75692",
093554,BRISITA ENERGY CORPORATION,"Bridgeport, TX 76426",
093548,BRISTOL RESOURCES CORPORATION,"Tulsa, OK 74170",
095340,BROCK OIL & GAS CORPORATION,"Tulsa, OK 74103",
097353,"BROOKSTON ENERGY, INC.","Tyler, TX 75702",140
097478,BROTHERS PRODUCTION COMPANY INC.,"Midland, TX 79708",
097476,"BROTHERS RESOURCES, INC.","Marshall, TX 75671",
097494,"BROWER OIL & GAS CO., INC.","Graham, TX 76450",13
100910,"BROWN, MAURICE L. COMPANY, THE","Kansas City, MO 64112",
102550,"BROWN, TOM INC.","Dallas, TX 75240",
102367,BUCKHORN OPERATING LLC,"MT Enterprise, TX 75681",183
106003,BUCKINGHAM OIL COMPANY,"Longview, TX 75606",
106406,BUFFCO PRODUCTION INC.,"Longview, TX 75606",163
108799,"BURK ROYALTY CO., LTD.","Wichita Falls, TX 76308",1014
108800,BURK ROYALTY COMPANY,"Wichita Falls, TX 76308",
109338,BURLINGTON RESOURCES OIL&GAS CO.,"Houston, TX 77210",
116351,"BUTTS, E. CONWAY, INC.","Shreveport, LA 71137",
118732,"BYNG ENERGY GROUP, INC.","Enid, OK 73703",
118745,BYRD & ZADECK EXPLORATION,"Shreveport, LA 71101",
121700,CABOT OIL & GAS CORPORATION,"Houston, TX 77024",
123967,"CALLAWAY PRODUCTION, LLC","Big Sandy, TX 75755",
125948,CALPINE NATURAL GAS COMPANY,"Houston, TX 77002",
125946,CALPINE NATURAL GAS COMPANY L.P.,"Houston, TX 77002",
125944,CALPINE NATURAL GAS L.P.,"Houston, TX 77002",
126996,"CAMERON EXPLORATION, INC.","Longview, TX 75604",9
129004,"CAMTERRA RESOURCES, INC.","Marshall, TX 75671",1
137330,CARTER RESOURCES,"Kilgore, TX 75663",
137365,CARTER-GRIFFITH RESOURCES LLC,"Kilgore, TX 75663",
138888,CASCABEL OIL CO. INC,"Harlingen, TX 78551",
139646,"CASTLE EXPLORATION COMPANY, INC","Blue Bell, PA 19422",
140541,CAVALRY RESOURCES LLC,"The Woodlands, TX 77380",
120023,CCI EAST TEXAS UPSTREAM LLC,"Houston, TX 77002",
142303,"CHALKER ENERGY MANAGEMENT II,LLC","Houston, TX 77002",
142297,"CHALKER ENERGY MANAGEMENT,LLC","Houston, TX 77002",
143520,"CHAMBERS EXPLORATION, INC.","Houston, TX 77002",
143750,CHAMPLIN PETROLEUM CO.,"Houston, TX 77002",
144402,CHANNEL PRODUCTION COMPANY,"Marshall, TX 75670",1
144597,"CHAPARRAL (USA) ENERGY, INC.","Oklahoma City, OK 73114",
144535,"CHAPARRAL ENERGY, L.L.C.","Oklahoma City, OK 73142",
