Operator Number,Operator Name,Location,Leases
953601,3 AMIGOS OIL CO.,"Odessa, TX 79766",1
953809,3 W OIL & GAS,"Grandfalls, TX 79742",
953706,3-M ENERGY CORPORATION,"San Angelo, TX 76902",
954992,"7S OIL & GAS, LLC","Midland, TX 79706",
000172,A & B OIL,"Monahans, TX 79756",2
000103,"A & G OIL COMPANY, LLC","Barstow, TX 79719",
000592,A.M. OIL & GAS,"MC Camey, TX 79752",
000118,AAA OIL TRUST,"Weatherford, TX 76088",
001530,"ABELL, GEORGE T.","Midland, TX 79702",
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",18
003140,ABRAXAS PRODUCTION CORPORATION,"San Antonio, TX 78270",
003391,ACCELL NATURAL GAS COMPANY,"Houston, TX 77042",
003606,"ACOMA OPERATING, LLC","Lubbock, TX 79424",32
003609,"ACORN OIL & GAS, LLC","Iraan, TX 79744",7
005350,ADAMS EXPLORATION CO.,"Tulsa, OK 74147",
007892,ADEPT OIL OPERATORS INC,"Plano, TX 75025",
007912,ADGO RESOURCES LLC,"Midland, TX 79701",
008507,AEC OPERATING COMPANY,"Roswell, NM 88202",
008551,"AEGIS FLUIDS MANAGEMENT, LLC","Plano, TX 75093",
008530,AERO LIVESTOCK & OIL PRODUCTION,"FT Stockton, TX 79735",
008590,"AGARITA RESOURCES, LLC","Fort Worth, TX 76132",
008718,"AGGIETECH OIL, LTD.","Midland, TX 79701",
009105,AIKMAN OIL CORP.,"Oklahoma City, OK 73157",
009115,"AIKMAN PETROLEUM, INC.","Amarillo, TX 79109",
011441,"ALEGRE ENERGY, INC.","San Antonio, TX 78216",
013296,ALLEDER INC.,"Midland, TX 79702",9
015142,"ALPINE GAS COMPANY, LLC","Dallas, TX 75201",
015726,ALTURA ENERGY LTD.,"Houston, TX 77210",
016600,"AMAREX, INC.","Oklahoma City, OK 73101",
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",
016888,"AMBER ENERGY, INC.","Midland, TX 79702",
016886,AMBRIT ENERGY CORP.,"Garland, TX 75044",
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",
018010,"AMERICAN CRUDE, INC.","Houston, TX 77002",
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",
018930,AMERICAN PUBLIC ENERGY CO.,"Dallas, TX 75231",
019250,AMERICAN QUASAR PETROLEUM CO.,"Fort Worth, TX 76102",
019356,"AMERICAN RESOURCES, INC.","Houston, TX 77079",
019782,"AMERITEX OIL & GAS, LLC","Los Angeles, CA 90027",
019982,AMIGO PETROLEUM INC.,"Midland, TX 79702",
020215,AMINOIL USA INC.,"Midland, TX 79701",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020463,AMPAK OIL COMPANY,"Plano, TX 75074",16
020511,"AMRON PETROLEUM, INC.","Midland, TX 79708",
020522,"AMTEX ENERGY, INC.","Fort Worth, TX 76147",11
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",
023900,ANDOVER OIL COMPANY,"Tulsa, OK 74136",
025640,"ANSCHUTZ CORPORATION, THE","Houston, TX 77010",
026690,"ANTONIO OIL COMPANY, THE","Houston, TX 77277",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
028625,APPROACH OPERATING LLC,"Fort Worth, TX 76116",
028617,APV MCCAMEY LLC,"MC Camey, TX 79752",
028657,APX & ASSOC.,"FT Stockton, TX 79735",
028700,"ARAPAHO PETROLEUM, INCORPORATED","Englewood, CO 80155",
028728,"ARBUSTO ENERGY, INC.","Midland, TX 79702",
029272,"ARCH OIL & GAS, LLC","Dallas, TX 75254",3
028910,"ARCHER, A. R., JR.","Bastrop, TX 78602",
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
029344,ARCO OIL & GAS CO.-MIDLAND,"Midland, TX 79702",
029347,ARCO PERMIAN,"Houston, TX 77079",
029700,ARGEE OIL COMPANY,"Midland, TX 79702",
029975,"ARGUS DRILLING, LLC","Midland, TX 79702",
030123,"ARIES EXPLORATION CO., INC.","San Angelo, TX 76903",
030129,"ARIES OPERATING, LLC","Houston, TX 77010",
030128,"ARIES OPERATING, LP","Houston, TX 77042",
031585,"ARMOR PETROLEUM, INC.","Wichita Falls, TX 76308",
033049,AROC (TEXAS) INC.,"Houston, TX 77090",
033149,ARRINGTON OIL&GAS OPERATING LLC,"Midland, TX 79702",
033148,"ARRINGTON,DAVID H. OIL & GAS,INC","Midland, TX 79702",
033521,ARROWHEAD OPERATING INC.,"Argyle, TX 76226",12
033626,ARROYO OIL CO.,"Monahans, TX 79756",
033755,ARTIFEX ENERGY INC,"Austin, TX 78732",
035430,"ASPEN OPERATING COMPANY, L.L.C.","Fort Worth, TX 76116",3
035575,ASSOCIATED OPERATING & EXPLOR.,"Dallas, TX 75243",
035633,ATAPCO,"Houston, TX 77040",
036075,"ATKINSON, J. V.","Midland, TX 79701",
036555,"ATLANTIC RESOURCES COMPANY, LLC","Houston, TX 77002",
036550,ATLANTIC RICHFIELD CO.,"Houston, TX 77252",
036606,"ATOKA OPERATING, INC.","Gainesville, TX 76241",20
036618,ATROPOS EXPLORATION COMPANY,"Dallas, TX 75225",23
036617,ATROPOS PRODUCTION CORPORATION,"Dallas, TX 75225",86
101180,Aurivos LLC,"Houston, TX 77002",1
037095,AUSTEX PETROLEUM CORP.,"Fort Worth, TX 76109",
038723,AVRA OIL COMPANY,"Dallas, TX 75248",12
038889,AWP OPERATING COMPANY,"George West, TX 78022",35
039783,B & B ENERGY (I),"Imperial, TX 79743",
039801,B & B OPERATING COMPANY,"Odessa, TX 79760",
040583,B & H OILFIELD SERVICES,"Midland, TX 79702",
042193,"B-Y OPERATING, INC.","Wichita, KS 67207",
042420,BADGER OIL COMPANY,"Midland, TX 79701",
042418,BADGER OIL CORPORATION,"Lafayette, LA 70505",
046623,"BAKER OPERATING, INC.","Odessa, TX 79764",90
044365,BAKER RESOURCES,"San Angelo, TX 76902",
044385,"BAKER RESOURCES, LLC","San Angelo, TX 76902",
047038,"BAKERSFIELD, LLC","Midland, TX 79704",
048381,"BANDERA DEVELOPMENT GP, LLC","Dallas, TX 75208",
048500,"BANKS, R. C.","Midland, TX 79702",
050200,"BARNES, J. C., OIL COMPANY","Midland, TX 79702",
052210,BARNHART CO.,"Houston, TX 77056",
052966,"BARON CO., INC. THE","Houston, TX 77027",
053106,"BARRETT BROTHERS OIL & GAS, INC.","San Antonio, TX 78217",
054310,"BASIC ENERGY SERVICES, INC.","Midland, TX 79702",
054313,"BASIC ENERGY SERVICES, L.P.","Fort Worth, TX 76102",
054430,"BASIN OIL & GAS OPERATING, LLC","Fort Worth, TX 76107",110
054700,BASS ENTERPRISES PRODUCTION CO.,"Fort Worth, TX 76102",
056310,"BATIE, PATRICIA","Odessa, TX 79764",
056537,BAXTER OIL WELL SERVICE,"Midland, TX 79703",
056555,"BAXTER, KELLY H.","Austin, TX 78767",
056536,"BAXTER, KELLY H. OIL AND GAS CO.","Austin, TX 78767",
056580,"BAXTER, MURPHY H.","Houston, TX 77002",
057830,BAY PRODUCTION INC.,"Cleburne, TX 76033",
057860,BAY ROCK OPERATING COMPANY,"San Antonio, TX 78212",19
058832,"BAYLOR OPERATING, LLC","Austin, TX 78766",10
058873,"BAYTECH, INC.","Midland, TX 79702",
058893,"BC OPERATING, INC.","Midland, TX 79710",
058915,"BEACH EXPLORATION, INC.","Midland, TX 79701",26
058921,"BEACH OIL & GAS, INC.","Lubbock, TX 79464",
100412,"Beaver Oil & Gas Operating, LLC","Austin, TX 78746",13
061035,"BEBCO PARTS INDUSTRIES, INC.","Monahans, TX 79756",
062673,BELCO ENERGY CORP.,"Dallas, TX 75231",
062680,BELCO PETROLEUM CORPORATION,"Midland, TX 79702",
064064,BELVAN CORP.,"Midland, TX 79701",
066722,"BEPCO, L.P.","Fort Worth, TX 76102",
066995,BEREXCO INC.,"Wichita, KS 67208",
068150,"BERRY, O. H.","Midland, TX 79702",
068301,"BESTO OIL & GAS, INC.","Odessa, TX 79768",
068360,"BETTIS, BOYLE & STOVALL","Graham, TX 76450",
068416,BEVERLY OIL AND GAS COMPANY,"Midland, TX 79707",
068610,BHP PETROLEUM (AMERICAS) INC.,"Houston, TX 77056",
070443,BIG STAR LLC,"San Angelo, TX 76903",
070445,"BIG STAR OIL & GAS, LLC","Midland, TX 79710",
072480,"BISHOP, D. L.","Midland, TX 79702",
072566,BISON EXPLORATION COMPANY,"Midland, TX 79701",
072517,"BISON NATURAL GAS, LLC","Houston, TX 77014",
072556,"BITZ, M. J. COMPANY","Fort Worth, TX 76116",
040810,BJG OPERATING COMPANY,"Midland, TX 79702",11
072586,BLACK BADGER EXPLORATION,"Lubbock, TX 79424",
072631,"BLACK BAYOU OPERATING, LLC","Fort Worth, TX 76116",
072691,BLACK MOUNTAIN OIL & GAS II LLC,"Fort Worth, TX 76102",
072747,BLACK MOUNTAIN SWD LP,"Fort Worth, TX 76102",1
073056,"BLACKBEARD OPERATING, LLC","Fort Worth, TX 76107",255
073331,BLACKWELDER OIL,"MC Camey, TX 79752",1
073330,"BLACKWELDER, WELDON ROSS","MC Camey, TX 79752",
074110,"BLAIR, JACK N.","Midland, TX 79702",
074175,"BLAIR, R. W.","FT Stockton, TX 79735",
075675,"BLEDSOE PARTNERS, INC.","Oklahoma City, OK 73120",
076743,"BLUE DARTER ENERGY, LLC","Sunnyvale, TX 75182",
076782,"BLUE RIDGE RESOURCES, LLC","Midland, TX 79710",
076848,"BLUEGRASS ENERGY, INC.","Tulsa, OK 74137",
076861,"BLUESTONE NATURAL RES. II, LLC","Fort Worth, TX 76107",
078032,"BOAZ ENERGY II OPERATING, LLC","Midland, TX 79705",93
077629,BOB & TED'S OPERATING,"Lewisville, TX 75067",
078386,"BOFIN, LLC","MC Camey, TX 79752",
082940,"BOOT DRILLING COMPANY, INC.","San Angelo, TX 76906",
082967,"BOPCO, L.P.","Midland, TX 79701",
