Operator Number,Operator Name,Location,Leases
007820,"ADCO ENERGY, INC.","Seguin, TX 78155",
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",
034500,"ASHLAND OIL, INC.","Lexington, KY 40512",
036550,ATLANTIC RICHFIELD CO.,"Houston, TX 77252",
135401,"CARRIZO OIL & GAS, INC.","Houston, TX 77002",
173783,"CONTINENTAL TREND RESOURCES, INC","Oklahoma City, OK 73126",
235788,"DUNSON, ERNEST","Midland, TX 79701",
236494,DUVAL CORPORATION,"Houston, TX 77252",
302628,"GIANT PETROLEUM, INC.","Irving, TX 75038",
312725,GOLD FIELDS MINING CORP.,"Golden, CO 80401",
373725,"HELIOS OPERATING, LLC","Houston, TX 77056",1
341494,HNG OIL COMPANY,"Midland, TX 79701",
424607,"INLAND OCEAN, INC.","San Antonio, TX 78205",
479240,K2X CO.,"Edmond, OK 73013",
473312,"KNOX, STEVE OIL COMPANY","Edmond, OK 73013",
567643,MILLER BROTHERS,"Allegan, MI 49010",
591811,"MOTT OIL & GAS, INC.","Sugar Land, TX 77478",
597371,MW PETROLEUM CORPORATION,"Houston, TX 77056",
685815,"RAPTOR RESOURCES, INC.","Austin, TX 78701",16
701129,"RELIANCE OIL AND GAS, INC.","Austin, TX 78748",
649300,SED ENERGY INC.,"Midland, TX 79702",
841500,TENNECO OIL CO.,"Houston, TX 77205",
844110,TEXACO INC.,"Midland, TX 79702",
876520,UNION OIL COMPANY OF CALIFORNIA,"Midland, TX 79706",
877060,UNION TEXAS PETROLEUM CORP.,"Houston, TX 77252",
912950,WESTLAND OIL DEVELOPMENT CORP.,"Conroe, TX 77305",
