Operator Number,Operator Name,Location,Leases
083296,BOTASCH OPERATING,"Dilley, TX 78017",
139559,"CASHFLOW EXPLORATION, INC.","Rapid City, SD 57701",
158277,"CLARO OPERATING, LLC","San Antonio, TX 78217",
217024,"DIAMONDBACK OPERATING, LP","Tulsa, OK 74132",
323030,"GRAHAM, E. L. CORP.","Abilene, TX 79605",
377075,"HENDERSON, PETER OIL CO.","San Angelo, TX 76906",
394700,"HOLMES EXPLORATION, LLC","Tulsa, OK 74136",
518685,MRT EXPLORATION COMPANY,"Saint Louis, MO 63124",
596636,MUSKEGON DEVELOPMENT COMPANY,"MT Pleasant, MI 48858",
643358,PATRICK EXPLORATION COMPANY,"Tulsa, OK 74136",
712930,"RIO-TEX, INC.","San Antonio, TX 78217",6
749600,SAXON OIL COMPANY,"Midland, TX 79707",
649300,SED ENERGY INC.,"Midland, TX 79702",
785328,"SK & CO. OIL AND GAS OPER., LLC","Dallas, TX 75219",
840865,TEAL PETROLEUM COMPANY,"Houston, TX 77002",
846935,TEXAS OPERATING & PRODUCTION CO.,"San Antonio, TX 78209",
848560,"TEXEN RESOURCES, INC.","Houston, TX 77002",
942185,WORLDWIDE ENERGY CORPORATION,"Freer, TX 78357",
