Operator Number,Operator Name,Location,Leases
953682,"3-T EXPLORATION, INC.","Wichita Falls, TX 76308",19
953803,"4P ENERGY TEXAS, LLC","Denver, CO 80206",
003100,"ABRAHAM, MALOUF COMPANY, INC.","Canadian, TX 79014",
003110,"ABRAHAM, MALOUF INC.","Pampa, TX 79066",
008716,"AGHORN OPERATING, INC.","Odessa, TX 79768",94
015100,"ALPAR RESOURCES, INC.","Perryton, TX 79070",
016802,"AMARILLO EXPLORATION, INC.","Dallas, TX 75360",26
016830,AMARILLO OIL CO.,"Amarillo, TX 79189",
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",
016860,AMAX PETROLEUM CORPORATION,"Houston, TX 77042",
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",
018930,AMERICAN PUBLIC ENERGY CO.,"Dallas, TX 75231",
019762,AMERICO OIL COMPANY,"Oklahoma City, OK 73154",
020403,"AMMO ENERGY, LLC","Oklahoma City, OK 73160",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",
020573,ANANDA ENERGY INC.,"Pampa, TX 79065",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
033130,ARRINGTON BROTHERS,"Pampa, TX 79066",
033134,"ARRINGTON CJM, INC.","Canadian, TX 79014",
034160,ASE OPERATIONS LLC,"Dallas, TX 75205",
036051,"ATHENA ENERGY, INC.","Gallatin, TN 37066",
036550,ATLANTIC RICHFIELD CO.,"Houston, TX 77252",
036587,ATLAS OPERATING LLC,"Houston, TX 77056",258
039141,"AXIO PRODUCTION COMPANY, L.P.","Tulsa, OK 74103",
039136,AXIS ENERGY CORPORATION,"Roswell, NM 88202",
039780,"B & B FARM INDUSTRIES, INC.","Spearman, TX 79081",
039870,"B AND G PRODUCTION, INC.","Woodward, OK 73801",14
046630,BAKER & TAYLOR DRILLING CO.,"Amarillo, TX 79105",
048163,BALL OIL FIELD SERVICE,"Eastland, TX 76448",
048540,BANNON ENERGY INCORPORATED,"Houston, TX 77068",
053051,BARRETT RESOURCES CORPORATION,"Denver, CO 80202",
056384,"BATTON OIL & GAS, LLC","Spearman, TX 79081",
040205,BCE-MACH II LLC,"Oklahoma City, OK 73134",246
040209,BCE-MACH III LLC,"Oklahoma City, OK 73134",862
100676,"BE Anadarko II, LLC","Austin, TX 78731",387
058915,"BEACH EXPLORATION, INC.","Midland, TX 79701",26
060100,BEARD OIL COMPANY,"Oklahoma City, OK 73102",
072564,BISON PETROLEUM CORPORATION,"Amarillo, TX 79121",
073056,"BLACKBEARD OPERATING, LLC","Fort Worth, TX 76107",255
076762,BLUE DOLPHIN PRODUCTION LLC,"Oklahoma City, OK 73142",
076848,"BLUEGRASS ENERGY, INC.","Tulsa, OK 74137",
082999,BORDERLINE OPERATING CORP.,"Graham, TX 76450",28
083030,BORDERLINE PRODUCTION,"Bryson, TX 76427",
040798,BP AMERICA PRODUCTION COMPANY,"Denver, CO 80202",
085366,"BP OPERATING COMPANY, LLC","Dallas, TX 75225",
085851,"BRACKEN OPERATING, L.L.C.","Perryton, TX 79070",130
089887,"BRAVO NATURAL GAS, LLC","Tulsa, OK 74136",
089939,"BRAZOS PETROLEUM, INC.","Graham, TX 76450",
089974,BRECK OPERATING CORP.,"Breckenridge, TX 76424",
090870,BRG LONE STAR LTD.,"Tulsa, OK 74136",415
093342,"BRIGHTON ENERGY, L.L.C.","Tulsa, OK 74170",
093554,BRISITA ENERGY CORPORATION,"Bridgeport, TX 76426",
093548,BRISTOL RESOURCES CORPORATION,"Tulsa, OK 74170",
106406,BUFFCO PRODUCTION INC.,"Longview, TX 75606",163
109110,BURKHART PETROLEUM CORPORATION,"Tulsa, OK 74135",
109333,BURLINGTON RESOURCES O & G CO LP,"Houston, TX 77252",917
109338,BURLINGTON RESOURCES OIL&GAS CO.,"Houston, TX 77210",
121700,CABOT OIL & GAS CORPORATION,"Houston, TX 77024",
121932,CABOT PETROLEUM CORPORATION,"Oklahoma City, OK 73114",
123682,CALDWELL PRODUCTION CO. INC.,"Borger, TX 79008",
126775,CAMBRIDGE & NAIL,"Amarillo, TX 79109",
126783,"CAMBRIDGE PRODUCTION, INC.","Amarillo, TX 79120",
129946,"CANYON CREEK RESOURCES, LLC","Tulsa, OK 74136",
129932,CANYON EXPLORATION CO.,"Amarillo, TX 79105",
130852,CARDWELL OIL CORPORATION,"Midland, TX 79710",1
146669,"CHARTER OAK PRODUCTION CO., LLC","Oklahoma City, OK 73134",19
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
147699,"CHESAPEAKE OPERATING, L.L.C.","Oklahoma City, OK 73154",
148113,CHEVRON U. S. A. INC.,"Midland, TX 79706",868
148123,"CHI OPERATING, INC.","Midland, TX 79702",7
150655,"CHOICE EXPLORATION, INC.","Irving, TX 75063",
153438,CIMAREX ENERGY CO.,"Midland, TX 79706",575
153429,CIMAREX ENERGY CO. OF COLORADO,"Midland, TX 79706",
153471,"CIMARRON ENGINEERING, LLC","Kingsville, TX 78364",22
153468,"CIMROD, LLC","Houston, TX 77269",
