Operator Number,Operator Name,Location,Leases
008555,AETHON ENERGY OPERATING LLC,"Dallas, TX 75251",262
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
068468,"BEXCO OPERATING, INC.","College Sta, TX 77845",
089939,"BRAZOS PETROLEUM, INC.","Graham, TX 76450",
106406,BUFFCO PRODUCTION INC.,"Longview, TX 75606",163
121212,"C6 OPERATING, L.L.C.","Keatchie, LA 71046",11
122891,"CAGO, INC.","College Sta, TX 77845",2
127230,"CAMERON, PAUL E., JR., INC.","Montgomery, TX 77356",
130785,CARDELL-TLAPEK CO.,"Magnolia, AR 71753",
140718,CEI OPERATING LLC,"Katy, TX 77449",
142198,"CG OPERATING, INC.","Austin, TX 78759",
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
147699,"CHESAPEAKE OPERATING, L.L.C.","Oklahoma City, OK 73154",
153410,CICO OIL & GAS COMPANY,"Houston, TX 77057",
166061,"COFFMAN, THOMAS D. INC.","Austin, TX 78767",
169728,"COMMON DISPOSAL, LLC","Chireno, TX 75937",
173206,"CONTANGO RESOURCES, INC.","Houston, TX 77002",
190005,"CRIMSON EXPLORATION OPER., INC.","Houston, TX 77002",
197624,DALE OPERATING COMPANY,"Dallas, TX 75201",
211535,DELAWARE DAVIS PETROLEUM CORP.,"Houston, TX 77056",
221725,DJD DRILLING CORPORATION,"Graham, TX 76450",
230775,DUKE OIL & GAS CO.,"Waskom, TX 75692",
241349,"ECLIPSE OIL & GAS, INC.","Midland, TX 79703",
251729,"ENDEAVOR NATURAL GAS, LP","Houston, TX 77002",10
252131,"ENERVEST OPERATING, L.L.C.","Houston, TX 77002",
255142,"ETX FLUID SOLUTIONS, LLC","Center, TX 75935",
255356,"EUROVEST OIL & GAS, INC.","Graham, TX 76450",
276324,FORESTAR OIL & GAS LLC,"Denver, CO 80202",
278755,FORTUNE RESOURCES LLC,"Longview, TX 75604",117
334916,"GRIT OIL & GAS, LLC","Houston, TX 77072",
383757,"HIBBARD ENERGY, LP","Whitehouse, TX 75791",67
102036,"HICKS EXPLORATION, LLC","Dover, OK 73734",1
385669,"HIGH ROLLER WELLS, L.L.C.","Center, TX 75935",
458825,KIDD PRODUCTION CO.,"Luling, TX 78648",
463345,KINDER MORGAN TEXAS PIPELINE LLC,"Houston, TX 77002",
448984,"KOVAR OPERATING, LLC","Victoria, TX 77901",
479574,L.C.S. PRODUCTION COMPANY,"Abilene, TX 79608",53
480882,"LACY OPERATIONS, LTD.","Longview, TX 75606",
504637,"LOBO OPERATING, INC.","Houston, TX 77077",
507975,"LONGBRANCH ENERGY, LP","Center, TX 75935",
511924,"LUCAS ENERGY, INC.","Houston, TX 77067",
521267,MAERSK ENERGY INC.,"Houston, TX 77042",
525380,MARATHON OIL COMPANY,"Houston, TX 77024",
564620,"MID-AMERICA PETROLEUM, INC.","Midland, TX 79702",
593635,"MINERAL TECHNOLOGIES, INC.","Midland, TX 79704",18
578700,"MOORE-MCCORMACK ENERGY, INC.","Dallas, TX 75251",
612624,"NORAMCO PRODUCTION, LLC","Midland, TX 79710",
612867,"NOREMAC, INC.","Tomball, TX 77375",
618275,"ODESSA EXPLORATION, INC.","Midland, TX 79702",
630000,"OWS ENERGY, INC.","Montgomery, TX 77356",
636222,PALMER PETROLEUM INC.,"Shreveport, LA 71105",6
655818,PERMIAN NATURAL RESOURCES,"Austin, TX 78701",22
660068,PETRO-HUNT CORPORATION,"Dallas, TX 75201",
660842,PETROLEUM TECHNICAL SERVICES CO.,"Midland, TX 79707",
665670,"PINNACLE OPERATING COMPANY, INC.","Shreveport, LA 71135",2
677770,PRIME OPERATING COMPANY,"Houston, TX 77024",72
679268,"PRIZE EXPLORATION & PROD, LLC","Oklahoma City, OK 73102",
687208,"R. LACY SERVICES, LTD.","Longview, TX 75606",224
691703,RANGE PRODUCTION COMPANY,"Fort Worth, TX 76102",
701876,REO OPERATING LLC,"Austin, TX 78747",4
714203,"RKI ENERGY RESOURCES, LLC","Oklahoma City, OK 73102",
714229,RME PETROLEUM COMPANY,"Houston, TX 77251",
