Operator Number,Operator Name,Location,Leases
000578,A & R RESOURCES,"Corpus Chrsti, TX 78411",
000133,A T M CORPORATION,"Mathis, TX 78368",
000458,"A-G-B, INC.","Houston, TX 77084",
000138,ABC NITROGEN SERVICE CORP.,"Mont Belvieu, TX 77580",
002000,"ABERCROMBIE, J.S., MIN. CO.,INC.","Houston, TX 77227",
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",18
003140,ABRAXAS PRODUCTION CORPORATION,"San Antonio, TX 78270",
003645,"AC EXPLORATION, LLC","Houston, TX 77024",17
003594,"ACOCK ENGINEERING & ASSOC., INC.","Corpus Chrsti, TX 78401",
003600,"ACOCK, RANDOLPH","Corpus Chrsti, TX 78404",
003599,"ACOCK/ANAQUA OPERATING CO., LP","Corpus Chrsti, TX 78401",
008477,"ADT INVESTMENTS, INC.","Austin, TX 78749",
009115,"AIKMAN PETROLEUM, INC.","Amarillo, TX 79109",
011160,"ALBRECHT, PHIL A., JR.","Victoria, TX 77901",
011285,ALCORN PROD CO.,"Victoria, TX 77902",
011441,"ALEGRE ENERGY, INC.","San Antonio, TX 78216",
013365,"ALLEGIANT RESOURCES, LLC","Lafayette, LA 70503",48
013305,"ALLEGRO INVESTMENTS, INC.","Victoria, TX 77903",
015721,"ALTA MESA SERVICES, LP","Houston, TX 77084",
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",
018395,AMERICAN INT'L ENERGY CORP.,"Houston, TX 77057",
018856,AMERICAN NATIONAL PETROLEUM CO.,"Houston, TX 77057",
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",
018925,AMERICAN PETROFINA PIPE LINE CO.,"Houston, TX 77032",
019365,"AMERICAN SHORELINE, INC.","Corpus Chrsti, TX 78401",1
020215,AMINOIL USA INC.,"Midland, TX 79701",
020419,AMOCO MINERALS COMPANY,"Englewood, CO 80155",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020463,AMPAK OIL COMPANY,"Plano, TX 75074",16
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",
020569,"ANAQUA OIL & GAS, INC.","Corpus Chrsti, TX 78401",
022497,ANDERSON OIL CORPORATION,"Corpus Chrsti, TX 78403",
022499,ANDERSON OIL LTD.,"Corpus Chrsti, TX 78401",13
