Operator Number,Operator Name,Location,Leases
953803,"4P ENERGY TEXAS, LLC","Denver, CO 80206",
006460,ADAMS & MCGAHEY,"Amarillo, TX 79114",
003996,ADAMS RESOURCES EXPL. CORP.,"Houston, TX 77001",
005920,"ADAMS, K. S. JR.","Houston, TX 77001",
015100,"ALPAR RESOURCES, INC.","Perryton, TX 79070",
016810,"AMARILLO NATURAL GAS, INC.","Amarillo, TX 79119",
016950,"AMEND, JAMES EDWARD","Amarillo, TX 79118",
018930,AMERICAN PUBLIC ENERGY CO.,"Dallas, TX 75231",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020512,"AMROSERVICE, INC.","Amarillo, TX 79105",
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
029270,ARCH PETROLEUM INC.,"Houston, TX 77252",
029870,ARGONAUT ENERGY CORPORATION,"New Orleans, LA 70112",
039136,AXIS ENERGY CORPORATION,"Roswell, NM 88202",
039870,"B AND G PRODUCTION, INC.","Woodward, OK 73801",14
040377,"B&E EXPLORATION, INC.","Perryton, TX 79070",
049748,BAR L PRODUCERS,"Fritch, TX 79036",
049155,BARBOUR ENERGY CORPORATION,"Oklahoma City, OK 73113",2
056384,"BATTON OIL & GAS, LLC","Spearman, TX 79081",
058855,BAYOU OIL CO.,"Los Angeles, CA 90036",
068030,BERRY EXPLORATION CORPORATION,"Oklahoma City, OK 73102",
100503,BLACK RESOURCES,"Pampa, TX 79065",
040798,BP AMERICA PRODUCTION COMPANY,"Denver, CO 80202",
085851,"BRACKEN OPERATING, L.L.C.","Perryton, TX 79070",130
089885,"BRAVO NATURAL RESOURCES, INC.","Oklahoma City, OK 73154",
089923,BRAWLEY PETROLEUM CORPORATION,"Lubbock, TX 79424",
089974,BRECK OPERATING CORP.,"Breckenridge, TX 76424",
090873,"BRG PETROLEUM, INC.","Tulsa, OK 74136",
103225,"BROYLES, CHARLES R.","Pampa, TX 79065",
104245,BRYAN EXPLORATION COMPANY,"Panhandle, TX 79068",
100179,"Buffalo Raider Consulting, LLC","Midland, TX 79705",5
108883,BURKETT DRILLING,"Sunray, TX 79086",
129932,CANYON EXPLORATION CO.,"Amarillo, TX 79105",
136042,CARSON BUCKLES EXPLORATION LLC,"Midland, TX 79710",9
144597,"CHAPARRAL (USA) ENERGY, INC.","Oklahoma City, OK 73114",
144535,"CHAPARRAL ENERGY, L.L.C.","Oklahoma City, OK 73142",
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
147699,"CHESAPEAKE OPERATING, L.L.C.","Oklahoma City, OK 73154",
154375,CITIES SERVICE OIL & GAS CORP.,"Tulsa, OK 74102",
158936,CLAY PETROLEUM,"Prosper, TX 75078",
161380,"CLUCK, JIMMY","Hart, TX 79043",
163000,COBRA OIL & GAS CORPORATION,"Wichita Falls, TX 76307",26
170777,"CONFED OIL & GAS, INC.","Dallas, TX 75219",
