Operator Number,Operator Name,Location,Leases
953682,"3-T EXPLORATION, INC.","Wichita Falls, TX 76308",19
856467,84 ENERGY LLC,"Flatonia, TX 78941",141
007894,ADEXCO OPERATING COMPANY,"Fort Worth, TX 76102",
102263,"AKOLLA OPERATING, LLC","Tyler, TX 75713",4
009770,"ALADDIN ENERGY, INC.","Richardson, TX 75080",
015056,ALLTEX OPERATING COMPANY,"Luling, TX 78648",
015730,ALTAIR ENERGY CORP.,"Tyler, TX 75702",
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",
019738,AMERICAN WEST,"Burkett, TX 76828",2
020467,AMPLIFY ENERGY OPERATING LLC,"Houston, TX 77002",498
024445,"ANDREWS & CORKRAN OIL & GAS, INC","Austin, TX 78746",
024444,"ANDREWS & CORKRAN, L.L.C.","Austin, TX 78746",
025729,"ANTERO RESOURCES II, LP","Denver, CO 80202",
028724,ARCADIA EXPL. & PROD. COMPANY,"Kilgore, TX 75663",
028730,ARCADIA REFINING CO.,"Tyler, TX 75701",
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
029347,ARCO PERMIAN,"Houston, TX 77079",
029588,"ARENA RESOURCES, L. L. C.","Longview, TX 75608",
030129,"ARIES OPERATING, LLC","Houston, TX 77010",
030128,"ARIES OPERATING, LP","Houston, TX 77042",
030821,"ARLIAN, INC.","Denver, CO 80202",
030840,"ARMADA RESOURCES, INC.","New Orleans, LA 70130",
000610,"ASM OIL & GAS COMPANY, INC.","Dallas, TX 75367",
035601,ASTIN CORP.,"Dallas, TX 75229",
036562,"ATLANTIS OIL COMPANY, INC.","Tyler, TX 75701",36
039135,AXEM RESOURCES INCORPORATED,"Denver, CO 80237",
040787,"B J RESOURCES, L.L.C.","Athens, TX 75751",
048540,BANNON ENERGY INCORPORATED,"Houston, TX 77068",
049250,BARGO ENERGY COMPANY,"Houston, TX 77010",
053321,BARROW-SHAVER RESOURCES CO.,"Tyler, TX 75703",74
053974,"BASA RESOURCES, INC.","Dallas, TX 75254",754
054310,"BASIC ENERGY SERVICES, INC.","Midland, TX 79702",
054313,"BASIC ENERGY SERVICES, L.P.","Fort Worth, TX 76102",
054490,BASIN OPERATING CO. LTD.,"Tyler, TX 75703",
100412,"Beaver Oil & Gas Operating, LLC","Austin, TX 78746",13
062783,BELL & KINLEY COMPANY,"Piedmont, OK 73078",
067572,"BERKSHIRE OPERATING, LLC","Kilgore, TX 75663",
067576,"BERKSHIRE WOODLAWN FIELD, LLC","Kilgore, TX 75663",
068360,"BETTIS, BOYLE & STOVALL","Graham, TX 76450",
068596,BHP BILLITON PET(TXLA OP) CO,"Denver, CO 80202",
069432,BIG GAS OIL LLC,"Longview, TX 75604",
069434,BIG GAS OIL LLP,"Oklahoma City, OK 73120",
070370,BIG RUN PRODUCTION COMPANY,"Tyler, TX 75701",15
072550,"BISHOP, R. H.","Houston, TX 77002",
075784,"BLOCK ""T"" PETROLEUM, INC.","Tyler, TX 75707",59
082570,"BOOHER ENGINEERING, INC.","Tyler, TX 75711",2
084097,"BOWLES ENERGY, INC.","Longview, TX 75601",42
084099,"BOWLES PROPERTIES, INC.","Longview, TX 75606",
088561,BRALEX OPERATING LLC,"Dallas, TX 75367",2
088620,"BRANDON ENERGY, INC.","Bullard, TX 75757",
090700,"BREEDLOVE, MIKE COMPANY","Tyler, TX 75711",
090732,BREITBURN OPERATING L.P.,"Houston, TX 77002",38
090870,BRG LONE STAR LTD.,"Tulsa, OK 74136",415
090874,BRG PETROLEUM CORPORATION,"Tulsa, OK 74136",
097323,BROOKS PETROLEUM COMPANY,"Tyler, TX 75703",
097476,"BROTHERS RESOURCES, INC.","Marshall, TX 75671",
099980,"BROWN, GEORGE R. PARTNERSHIP,THE","Houston, TX 77002",
104287,"BRYANT & CARR, INC.","Tyler, TX 75702",
104795,BRYANT - CHASE ENERGY CORP.,"Tyler, TX 75701",
106003,BUCKINGHAM OIL COMPANY,"Longview, TX 75606",
106406,BUFFCO PRODUCTION INC.,"Longview, TX 75606",163
108800,BURK ROYALTY COMPANY,"Wichita Falls, TX 76308",
118732,"BYNG ENERGY GROUP, INC.","Enid, OK 73703",
121085,"C. W. RESOURCES, INC.","Longview, TX 75604",9
121212,"C6 OPERATING, L.L.C.","Keatchie, LA 71046",11
121932,CABOT PETROLEUM CORPORATION,"Oklahoma City, OK 73114",
123596,"CALATEX EXPLORATION, INC.","Dallas, TX 75379",
124824,CALLON PETROLEUM CO.,"Natchez, MS 39120",
126996,"CAMERON EXPLORATION, INC.","Longview, TX 75604",9
127230,"CAMERON, PAUL E., JR., INC.","Montgomery, TX 77356",
129004,"CAMTERRA RESOURCES, INC.","Marshall, TX 75671",1
129675,CAN-TEX ENERGY CORP.,"Dallas, TX 75231",
130353,"CAPE OPERATING, INC.","Longview, TX 75608",
130358,"CAPE, RANDY","Tyler, TX 75703",
130760,"CARD OPERATING COMPANY, INC.","Tyler, TX 75713",
135180,"CARR RESOURCES, INC.","Tyler, TX 75702",4
135401,"CARRIZO OIL & GAS, INC.","Houston, TX 77002",
137330,CARTER RESOURCES,"Kilgore, TX 75663",
137365,CARTER-GRIFFITH RESOURCES LLC,"Kilgore, TX 75663",
142303,"CHALKER ENERGY MANAGEMENT II,LLC","Houston, TX 77002",
142306,"CHALLENGER ENERGY SVCS CO., LLC","Kilgore, TX 75663",
146678,"CHASE ENERGY, INC.","Austin, TX 78763",
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
147699,"CHESAPEAKE OPERATING, L.L.C.","Oklahoma City, OK 73154",
153385,CIBOLA OIL & GAS CORP.,"Tyler, TX 75710",
153429,CIMAREX ENERGY CO. OF COLORADO,"Midland, TX 79706",
153512,"CINRON ENERGY, LLC","Arp, TX 75750",32
153520,CIPPELE RESOURCES CO.,"Longview, TX 75608",
153970,"CIRCLE RIDGE PRODUCTION, INC.","Graham, TX 76450",
154235,CITATION OIL & GAS CORP.,"Houston, TX 77269",132
154255,CITIES SERVICE COMPANY,"Midland, TX 79710",
154375,CITIES SERVICE OIL & GAS CORP.,"Tulsa, OK 74102",
155202,CLAPP OIL COMPANY,"Lindale, TX 75771",
158927,"CLAY EXPLORATION, INC.","Spring, TX 77387",
159900,CLEMCO,"Tyler, TX 75702",
161421,"CNS ENERGY, INC.","Kilgore, TX 75663",
168773,"COLLUM, JIM","Tyler, TX 75701",
170040,"COMSTOCK OIL & GAS, LP","Frisco, TX 75034",
174337,COOK EXPLORATION CO.,"Longview, TX 75602",5
178273,"CORDILLERA TEXAS, L.P.","Greenwood VLG, CO 80111",
182140,"COUCH, GILBERT","Kilgore, TX 75663",1
186704,CRATON ENERGY CORPORATION,"Oklahoma City, OK 73154",
186717,CRATON OPERATING LLC,"Bellaire, TX 77401",146
189896,"CREST ENGINEERING SERVICES,INC.","Tyler, TX 75701",
189956,"CRETACEOUS INVESTMENTS, INC.","Tyler, TX 75713",
190468,CROSS TIMBERS OPERATING COMPANY,"Fort Worth, TX 76102",
191602,CRUMPLER PRODUCTION LLC,"Bloomburg, TX 75556",
194068,CULVER & CAIN PRODUCTION LLC,"Tyler, TX 75711",30
196861,"D-S-B PROPERTIES, INC.","Kilgore, TX 75663",
195986,"D-S-B PROPERTIES, LLC","Kilgore, TX 75663",4
197624,DALE OPERATING COMPANY,"Dallas, TX 75201",
197690,"DALLAS PRODUCTION, INC.","Dallas, TX 75206",
199614,"DANMARK ENERGY SERVICES, INC.","White Oak, TX 75693",
213350,DELTA DRILLING CO.,"Kilgore, TX 75662",
214090,DELTAUS CORPORATION,"Oklahoma City, OK 73125",
216980,DIAMOND OPERATING COMPANY,"Gladewater, TX 75647",
220851,DISCOVERY GEOSERVICES CORP.,"Dallas, TX 75206",
220903,DIVERSIFIED PRODUCTION LLC,"Keithville, LA 71047",3044
222282,"DOMINION OKLAHOMA TEXAS E&P, INC","Richmond, VA 23219",
222531,DONNELL PIPE & SUPPLY CO/TX CORP,"Kilgore, TX 75663",
223475,"DORCHESTER EXPLORATION, INC.","Houston, TX 77210",
101170,Double Eight Oil Company LLC,"Nichols Hill, OK 73116",6
228125,"DREYFUS, LOUIS NATURAL GAS CORP","Oklahoma City, OK 73134",
238561,"EAGLE ENERGY EXPLORATION, INC.","Longview, TX 75606",
238634,EAGLE OIL & GAS CO.,"Dallas, TX 75225",76
239009,EAST TEX SALT WATER DISPOSAL CO.,"Kilgore, TX 75662",
238981,EAST TEXAS PRODUCTION MGT. INC,"Athens, TX 75751",
239239,"EASTEX OPERATING, INC.","Tyler, TX 75701",
238527,EEX CORPORATION,"Houston, TX 77060",
246565,"ELAND ENERGY, INC.","Dallas, TX 75248",
248895,"ELLIS EXPLORATION, INC.","Tyler, TX 75703",21
249070,ELLIS-ROSELAND,"Houston, TX 77027",
250608,"ELM GROVE PRODUCTION, LLC","Dallas, TX 75360",2
250120,ELMS OIL COMPANY,"Kilgore, TX 75663",17
251727,"ENCORE OPERATING, L.P.","Plano, TX 75024",
251726,ENDEAVOR ENERGY RESOURCES L.P.,"Midland, TX 79701",1182
252131,"ENERVEST OPERATING, L.L.C.","Houston, TX 77002",
253196,ENRON OIL & GAS COMPANY,"Houston, TX 77210",
253210,"ENSERCH EXPLORATION, INC","Dallas, TX 75206",
253150,"ENSIGHT III ENERGY MGMT, LLC","Shreveport, LA 71101",
253162,"EOG RESOURCES, INC.","Midland, TX 79702",3318
253275,EP OPERATING COMPANY,"Dallas, TX 75201",
256900,EXCELSIOR OIL CORP.,"Longview, TX 75606",
256925,EXCHANGE OIL & GAS CORP.,"Lake Charles, LA 70602",
256915,"EXCO OPERATING COMPANY, LP","Dallas, TX 75251",242
256913,EXCO PARTNERS OPERATING PTSHP LP,"Dallas, TX 75251",
256931,"EXCO RESOURCES, INC.","Dallas, TX 75251",
257010,EXPANDO OIL COMPANY,"Wichita Falls, TX 76307",
257027,"EXPLO OIL, INC.","Dallas, TX 75251",
257074,EXPORT PETROLEUM CORPORATION,"Fort Worth, TX 76147",1
257097,EXXON CORP.,"Houston, TX 77210",
257128,EXXON MOBIL CORPORATION,"Spring, TX 77389",
258400,FAIR OIL COMPANY,"Tyler, TX 75710",
258401,"FAIR OIL, LC","Tyler, TX 75710",
258410,"FAIR OIL, LTD.","Tyler, TX 75710",16
263648,"FAULCONER ENERGY, LLC","Tyler, TX 75711",859
263701,"FAULCONER, VERNON E., INC.","Tyler, TX 75711",
265595,"FENDER EXPL & PROD CO., L.L.C.","Tyler, TX 75710",
265592,"FENDER, HARRIS R.","Tyler, TX 75710",
268321,FINA OIL & CHEMICAL COMPANY,"Dallas, TX 75221",
