Operator Number,Operator Name,Location,Leases
010450,"ALARON ENERGY, INC.","Irving, TX 75038",
033149,ARRINGTON OIL&GAS OPERATING LLC,"Midland, TX 79702",
033148,"ARRINGTON,DAVID H. OIL & GAS,INC","Midland, TX 79702",
050861,BARNETT SHALE OPERATING LLC,"Fort Worth, TX 76102",
100345,"BKV North Texas, LLC","Fort Worth, TX 76106",1732
073056,"BLACKBEARD OPERATING, LLC","Fort Worth, TX 76107",255
076861,"BLUESTONE NATURAL RES. II, LLC","Fort Worth, TX 76107",
109333,BURLINGTON RESOURCES O & G CO LP,"Houston, TX 77252",917
169785,"COMPLETE ENERGY SERVICES, INC.","Mustang, OK 73064",
194204,"CUMMING COMPANY, INC. THE","Fort Worth, TX 76116",5
196902,DABB ENERGY COMPANY,"Fort Worth, TX 76132",
197690,"DALLAS PRODUCTION, INC.","Dallas, TX 75206",
216378,"DEVON ENERGY PRODUCTION CO, L.P.","Oklahoma City, OK 73102",693
220903,DIVERSIFIED PRODUCTION LLC,"Keithville, LA 71047",3044
238558,E.G. OPERATING,"Dallas, TX 75206",
238462,"EAGLERIDGE OPERATING, LLC","Dallas, TX 75219",1097
252131,"ENERVEST OPERATING, L.L.C.","Houston, TX 77002",
253162,"EOG RESOURCES, INC.","Midland, TX 79702",3318
337075,"GSI OIL & GAS, INC.","Bryan, TX 77806",1
458534,"KEY ENERGY SERVICES, LLC","Houston, TX 77042",
522545,"MAJESTIC CONSULTING, LC","Granbury, TX 76048",
647139,"PEAK ENERGY OPERATING #2, LLC","Durango, CO 81301",
647136,"PEAK OPERATING OF TEXAS, LLC","Denver, CO 80202",
665748,"PIONEER NATURAL RES. USA, INC.","Irving, TX 75038",3388
676024,"PREMIER NATURAL RESOURCES II,LLC","Tulsa, OK 74105",
676073,"PREMIER NATURAL RESOURCES, LLC","Tulsa, OK 74136",
676910,"PRICE, W. H.","Granbury, TX 76048",
684835,QUICKSILVER RES PTNR OP LTD.,"Fort Worth, TX 76102",
684830,QUICKSILVER RESOURCES INC.,"Fort Worth, TX 76102",
702645,REPUBLIC ENERGY INC.,"Decatur, TX 76234",
709740,RICHMAN PETROLEUM CORP.,"Grapevine, TX 76051",
768686,SHALE TANK TRUCK L.P.,"Gainesville, TX 76241",
784000,SIMPSON OIL & LAND CO.,"Fort Worth, TX 76102",
806720,"SOUTHWESTERN GAS PIPELINE, INC.","Oklahoma City, OK 73102",
810872,ST. JOHNS OPERATING #1 L.P.,"Houston, TX 77060",
870311,"TRINITY RIVER ENERGY OPER, LLC","Houston, TX 77008",
875197,"TX H&H OIL CO. #1, LLC","Kilgore, TX 75663",
875310,"UPP OPERATING, LLC","Houston, TX 77002",5201
875630,"UV INDUSTRIES, INC.","Salt Lake Cty, UT 84111",
881484,VANCO OIL & GAS CORP.,"Abilene, TX 79604",
900331,"WATER ENERGY SERVICES, LLC","San Antonio, TX 78215",
945936,XTO ENERGY INC.,"Spring, TX 77389",2041
