Operator Number,Operator Name,Location,Leases
953506,"4W OPERATING, LLC","Breckenridge, TX 76424",5
002633,"ABILENE EXPLORATION, INC.","Lubbock, TX 79401",
002635,ABILENE OIL & GAS CO.,"Abilene, TX 79604",
008524,AEC OIL & GAS INC.,"Salt Lake Cty, UT 84121",
009532,"AKERS & FULTZ, INC.","Graham, TX 76450",
009430,"AKERS, B. F.","Graham, TX 76450",6
013250,"ALL GLORY BEE OIL,GAS&MIN. CORP.","Salt Lake Cty, UT 84124",
013293,"ALLAR CO., THE","Graham, TX 76450",
014357,"ALLIED ENERGY OPERATING, LLC","McKinney, TX 75070",
016563,AMARALA PETROLEUM INC.,"Amarillo, TX 79101",
016944,AMEN OIL LLC,"Graham, TX 76450",
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",
019650,AMERICAN SUPREME OIL INC,"Frisco, TX 75034",
019765,AMERITECH OIL & GAS CORPORATION,"Dallas, TX 75248",
020520,AMTEX ENERGY CORP.,"Midvale, UT 84047",
020535,"AMV OPERATING, INC.","Lawton, OK 73502",
022491,"ANDERSON HOLDING, INC.","Moran, TX 76464",
022922,ANDERSON PRODUCTION,"Cisco, TX 76437",39
021802,"ANDERSON, E. D.","Cisco, TX 76437",
024124,"ANDRESS PETROLEUM, INC.","Houston, TX 77002",
026646,"ANTLE OPERATING, INC.","Graham, TX 76450",44
026645,"ANTLE, E.","Graham, TX 76450",
026651,"ANTLER OIL & GAS, INC.","Houston, TX 77004",
027480,"APEXCO, INC.","Sand Springs, OK 74063",
028673,AR-CAN PETROLEUM INC,"Graham, TX 76450",
028700,"ARAPAHO PETROLEUM, INCORPORATED","Englewood, CO 80155",
028723,ARATEX PRODUCTION COMPANY,"Denver, CO 80202",
029270,ARCH PETROLEUM INC.,"Houston, TX 77252",
029370,ARCOOIL CORP,"San Antonio, TX 78205",
030129,"ARIES OPERATING, LLC","Houston, TX 77010",
030128,"ARIES OPERATING, LP","Houston, TX 77042",
031055,"ARMER EST. & WES-MOR DRLG., INC.","Graham, TX 76450",
031587,ARMOR RESOURCES LLC,"Longview, TX 75604",
033000,"ARNOT, W. G., JR.","Breckenridge, TX 76424",
033148,"ARRINGTON,DAVID H. OIL & GAS,INC","Midland, TX 79702",
033790,ARVAL/ADNAN LLC,"Plano, TX 75075",
035060,"ASHTOLA EXPLORATION COMPANY,INC.","Amarillo, TX 79105",
035628,"ASTRO DRILLING & PROD. CO., INC.","Iowa Park, TX 76367",
035619,"AT OIL & GAS, LLC","Eastland, TX 76448",6
036587,ATLAS OPERATING LLC,"Houston, TX 77056",258
036605,"ATOKA GAS & OIL, INC.","Cleveland, OH 44124",
036625,ATWA ENERGY CO.,"Breckenridge, TX 76424",
036634,"ATWELL TECHNICAL SERVICES, INC.","Breckenridge, TX 76424",
036744,"AUBURN OIL, INC.","Houston, TX 77079",
036930,AUSANKA OIL OPERATIONS,"Wichita Falls, TX 76308",
037877,"AVAD OPERATING, LLC","Dallas, TX 75201",
039757,"AZUL, INC.","Buffalo Gap, TX 79508",
040144,B & D ENTERPRISES,"Breckenridge, TX 76424",
041785,"B-TECH. PET., INC.","Breckenridge, TX 76424",
014804,"B.O.L.D. OIL AND GAS, LLC","Graham, TX 76450",29
040857,"B.R.H. INVESTMENTS, INC.","Abilene, TX 79608",
042398,BACON ENERGY,"Ranger, TX 76470",5
048163,BALL OIL FIELD SERVICE,"Eastland, TX 76448",
048164,BALL PRODUCING CO.,"Eastland, TX 76448",2
048162,BALL PRODUCTION CO.,"Breckenridge, TX 76424",
048171,"BALLARD, ORVILLE M.","Ranger, TX 76470",
048185,"BALLOU ENTERPRISES, INC.","Horseshoe Bay, TX 78657",
048330,BALTA ENERGY MANAGEMENT,"Abilene, TX 79603",
048357,"BAM OPERATING, INC.","Eastland, TX 76448",
048368,"BANDERA ENERGY, INC.","Abilene, TX 79602",
048367,"BANDERA PETROLEUM, INC.","Abilene, TX 79606",
100301,Bankhead E & P LLC,"Farmers BRNCH, TX 75234",4
048403,BANKHEAD OPERATING CORP.,"Wichita Falls, TX 76307",
048565,BARA CORPORATION,"Flower Mound, TX 75027",
049255,"BARGSLEY, COY","Abilene, TX 79603",
053014,"BARRETT, BILL CORPORATION","Denver, CO 80202",
053302,BARRON PETROLEUM LLC,"San Antonio, TX 78205",
053974,"BASA RESOURCES, INC.","Dallas, TX 75254",754
054107,BASELINE OIL & GAS CORP.,"Houston, TX 77267",
054810,"BASS OPERATING CO., INC.","Breckenridge, TX 76424",
061173,"BECKER, MAX","Thousand Oaks, CA 91320",
062673,BELCO ENERGY CORP.,"Dallas, TX 75231",
062690,BELCOR INC.,"Irvine, CA 92714",
064155,BENDORF SERVICES & SUPPLY CO,"Breckenridge, TX 76424",
064170,"BENDORF, OTTO","Breckenridge, TX 76424",
064175,"BENDORF, OTTO TRUST","Breckenridge, TX 76424",
066008,BENTLEY OIL AND GAS COMPANY,"Wichita Falls, TX 76307",
068160,"BERRY, RICHARD B.","Dallas, TX 75287",
068360,"BETTIS, BOYLE & STOVALL","Graham, TX 76450",
068400,"BETTIS, STREET & STOVALL, INC.","Graham, TX 76450",
