Operator Number,Operator Name,Location,Leases
953706,3-M ENERGY CORPORATION,"San Angelo, TX 76902",
100340,A&A Energy LLC.,"Christoval, TX 76935",
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",18
007832,"ADCOCK, CAROL","Ozona, TX 76943",
007838,"ADCOCK, DON","Sonora, TX 76950",
007830,"ADCOCK, LEROY","Ozona, TX 76943",
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",
018008,"AMERICAN COMETRA, INC.","Fort Worth, TX 76102",
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",
018930,AMERICAN PUBLIC ENERGY CO.,"Dallas, TX 75231",
019250,AMERICAN QUASAR PETROLEUM CO.,"Fort Worth, TX 76102",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020475,AMQUEST CORPORATION,"New Orleans, LA 70112",
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",
022435,ANDERSON ENERGY CORPORATION,"Arvada, CO 80004",
022547,"ANDERSON PETROLEUM, INC.","Denver, CO 80203",
023900,ANDOVER OIL COMPANY,"Tulsa, OK 74136",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
036049,ATHANOR TEXAS INC.,"Houston, TX 77002",
044365,BAKER RESOURCES,"San Angelo, TX 76902",
053302,BARRON PETROLEUM LLC,"San Antonio, TX 78205",
056555,"BAXTER, KELLY H.","Austin, TX 78767",
056536,"BAXTER, KELLY H. OIL AND GAS CO.","Austin, TX 78767",
073027,"BLACKBRUSH O & G, INC.","San Antonio, TX 78258",
073306,BLACKSTONE ENERGY SERVICES LLC,"Christoval, TX 76935",50
075870,"BLOODWORTH, L. P. JR.","Sonora, TX 76950",
078050,"BOB HUGHES OIL COMPANY, LLC","San Angelo, TX 76901",28
082443,BONFIRE OPERATING LLC,"Cresson, TX 76035",16
084630,"BOYD, FOY MANAGEMENT CORP.","Midland, TX 79702",
085490,BRACKEN EXPLORATION COMPANY,"Oklahoma City, OK 73118",
089961,BRAZOS PETROLEUM CO.,"Midland, TX 79702",
089939,"BRAZOS PETROLEUM, INC.","Graham, TX 76450",
097032,"BROOKS, BILLEE K.","Dallas, TX 75206",
097035,"BROOKS, E. B., JR.","Dallas, TX 75206",
102550,"BROWN, TOM INC.","Dallas, TX 75240",
041519,"BRP ENERGY, LLC","San Angelo, TX 76902",9
105970,"BUCKEYE ENERGY, INC.","Midland, TX 79702",
109333,BURLINGTON RESOURCES O & G CO LP,"Houston, TX 77252",917
109338,BURLINGTON RESOURCES OIL&GAS CO.,"Houston, TX 77210",
111020,"BURNS, R. L. CORPORATION","Dallas, TX 75270",
118748,BYRD OPERATING COMPANY,"Midland, TX 79702",15
120089,"C & F PETROLEUM, INC.","San Angelo, TX 76902",
120531,C&J ENERGY SERVICES,"Houston, TX 77042",
