Operator Number,Operator Name,Location,Leases
953796,"3 S PRODUCTION, INC.","Cisco, TX 76437",61
953631,3-D OIL & GAS,"Winters, TX 79567",1
953706,3-M ENERGY CORPORATION,"San Angelo, TX 76902",
953636,4-M OPERATING COMPANY,"Abilene, TX 79601",
102293,4T PRODUCTION LLC,"Tuscola, TX 79562",1
955007,5-W OIL COMPANY,"Abilene, TX 79602",
953770,5L PROPERTIES,"Breckenridge, TX 76424",
953778,"5L PROPERTIES, INC.","Breckenridge, TX 76424",14
955006,7 BAR OIL & GAS COMPANY,"Merkel, TX 79536",
954992,"7S OIL & GAS, LLC","Midland, TX 79706",
000146,"A.D.S. RESOURCES, INC.","Lubbock, TX 79413",
000190,"A.E.N. ENERGY, INC.","Abilene, TX 79608",
002627,"ABILENE AMERICAN ENERGY, LLC","Abilene, TX 79602",7
002630,"ABILENE DRILLING, INC.","Abilene, TX 79605",
002633,"ABILENE EXPLORATION, INC.","Lubbock, TX 79401",
002751,"ABILENE OIL & GAS, INC.","Abilene, TX 79602",
003201,"ABTEX ENERGY, INC.","Abilene, TX 79608",
003590,ACME PRODUCTION CO. OF ABILENE,"Abilene, TX 79606",
003975,ADAMS BRANCH EXPLORATION COMPANY,"Abilene, TX 79608",
007836,ADCO OIL & GAS INC.,"Coleman, TX 76834",
007937,"ADKINS, R. L. CORP.","Lubbock, TX 79408",
000834,"AEON OPERATING, INC.","Fate, TX 75132",
008574,AGARITA OIL AND GAS,"Midland, TX 79710",
010548,ALBANY CEMENTING COMPANY,"Albany, TX 76430",
012190,ALEXANDER ENERGY CORPORATION,"Dallas, TX 75206",
012368,"ALEXANDER RESOURCES, INC.","Abilene, TX 79608",
013305,"ALLEGRO INVESTMENTS, INC.","Victoria, TX 77903",
013555,"ALLEGRO OPERATING, INC.","Abilene, TX 79604",
014054,ALLENERGY CORPORATION,"Abilene, TX 79604",
015107,ALPHA ENERGY,"Anson, TX 79501",
015123,ALPHA EXPLORATION CO.,"Wichita Falls, TX 76309",
015138,ALPINE PETROLEUM,"Abilene, TX 79608",
015730,ALTAIR ENERGY CORP.,"Tyler, TX 75702",
016281,ALUMNI OIL LLC,"Plano, TX 75024",1
016564,AMANDA OIL CO.,"Abilene, TX 79603",
016899,"AMBLE PETROLEUM CO., INC.","Tuscola, TX 79562",6
017970,AMERICAN EAGLE OPERATING LLC,"Gainesville, TX 76240",
017967,"AMERICAN EAGLE OPERATING, INC.","Spring, TX 77386",
017985,AMERICAN ENERGY,"Abilene, TX 79604",
018925,AMERICAN PETROFINA PIPE LINE CO.,"Houston, TX 77032",
019762,AMERICO OIL COMPANY,"Oklahoma City, OK 73154",
019875,"AMHERST ENERGY HOLDINGS, LLC","Highland VLG, TX 75077",2
020403,"AMMO ENERGY, LLC","Oklahoma City, OK 73160",
020463,AMPAK OIL COMPANY,"Plano, TX 75074",16
020529,AMTEXX ENERGY,"Abilene, TX 79606",
020553,ANACO COMPANY,"Abilene, TX 79606",
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",
020581,"ANATHEMA, INC.","Abilene, TX 79601",
020781,ANDALUCIA OIL COMPANY,"San Antonio, TX 78258",
022275,"ANDERSON, JAMES K. INC.","Abilene, TX 79608",2
024123,ANDRESS PETR INC & LAJET INC,"Houston, TX 77002",
026520,"ANTILLEY, JOE","Abilene, TX 79602",
026812,"AOGP, LLC","Turtle Lake, WI 54889",
026810,AOP OPERATING CORPORATION,"Dallas, TX 75313",
028617,APV MCCAMEY LLC,"MC Camey, TX 79752",
029860,ARGO PETROLEUM CORPORATION,"Midland, TX 79708",
030127,"ARIES OPERATING, INC.","Abilene, TX 79604",
030130,"ARIES PETROLEUM, INC.","Abilene, TX 79604",
033860,ASAMERA OIL (U.S.) INC.,"Denver, CO 80201",
034160,ASE OPERATIONS LLC,"Dallas, TX 75205",
036040,"ATCHLEY, STEVE","Austin, TX 78720",
036589,"ATMOS ENERGY CORP., MID-TEX DIV.","Dallas, TX 75222",
036592,ATMOS ENERGY CORPORATION,"Lubbock, TX 79408",
036603,"ATMOS ENERGY,WEST TEXAS DIVISION","Lubbock, TX 79424",
036599,ATMOS PIPELINE - TEXAS,"Dallas, TX 75240",
036630,"ATWELL OIL CO., INC.","Cross Plains, TX 76443",
036634,"ATWELL TECHNICAL SERVICES, INC.","Breckenridge, TX 76424",
036740,"ATWOOD, W. R.","Abilene, TX 79605",
036856,AUGUSTA OIL & GAS,"Abilene, TX 79604",
036858,AUGUSTA OIL & GAS INC,"Abilene, TX 79604",
036855,"AUGUSTA OIL & GAS, INC.","San Antonio, TX 78280",
039746,AZTEX PETROLEUM,"Chandler, AZ 85249",
039757,"AZUL, INC.","Buffalo Gap, TX 79508",
041531,B & S PRODUCTION COMPANY,"Dallas, TX 75206",
040606,B&J OIL AND GAS,"Kilgore, TX 75663",
040857,"B.R.H. INVESTMENTS, INC.","Abilene, TX 79608",
044335,"BAJA ENERGY, INC.","Abilene, TX 79606",
048942,BARBEE ENERGY CORPORATION,"Abilene, TX 79608",
048943,"BARBEE, INC.","Abilene, TX 79604",
048970,"BARBEE, JOHN W.","Abilene, TX 79604",
049168,"BARCO INDUSTRIES, INC.","Coleman, TX 76834",
049190,BARFIELD RESOURCES CORPORATION,"Dallas, TX 75205",
052965,"BARON CO., THE","Houston, TX 77027",
052969,BARON ENERGY INC.,"San Marcos, TX 78666",4
052968,"BARON ENERGY, INC.","Arlington, TX 76011",
056525,"BAUMAN, RALPH H.","San Antonio, TX 78218",
056555,"BAXTER, KELLY H.","Austin, TX 78767",
056536,"BAXTER, KELLY H. OIL AND GAS CO.","Austin, TX 78767",
058819,"BAYOU OIL & GAS, INC.","Abilene, TX 79608",
058851,"BAYOU OPERATING COMPANY, INC.","Abilene, TX 79608",41
058834,BAYRIDGE TEXAS CORP.,"Big Spring, TX 79720",
059770,BEAIRD ENERGY CO.,"Merkel, TX 79536",
059777,"BEAIRD, R.A. OIL OPERATING CO.","Merkel, TX 79536",2
100259,Beasley Well Service Inc.,"Tuscola, TX 79562",13
061650,BEE - GEE TRANSPORTS,"Abilene, TX 79602",
061746,BEEDA OIL COMPANY,"Merkel, TX 79536",
063255,"BELL, JOHNNY INC.","Abilene, TX 79604",
063400,"BELL, O. M.","Merkel, TX 79536",
064225,"BENEXCO, INC.","Midland, TX 79708",
065970,"BENSON & SCHOEN OIL CO., INC.","Abilene, TX 79602",
066007,"BENT OAK ENERGY INTERESTS, LLC","Houston, TX 77024",
068144,BERRY ENERGY COMPANIES,"Abilene, TX 79608",
068306,BETA OPERATING CO.,"College Sta, TX 77842",
068309,"BETA-TEX, AN OKLAHOMA CORP.","Oklahoma City, OK 73157",4
068360,"BETTIS, BOYLE & STOVALL","Graham, TX 76450",
069225,"BIG COUNTRY EXP., INC.","Abilene, TX 79601",
070788,"BILBO WIRELINE SERVICE, INC.","Abilene, TX 79603",
071344,BIRD ENERGY COMPANY,"Abilene, TX 79601",
072500,"BISHOP, E.J.","Winters, TX 79567",
072501,"BISHOP, E.J. ESTATE","Winters, TX 79567",
073240,"BLACKROCK DRILLING, LLC","Abilene, TX 79606",
073270,"BLACKSHEAR, CHARLEY","Winters, TX 79567",
074345,"BLAKE RESOURCES, INC.","Fort Worth, TX 76112",
075370,BLOUNT PETROLEUM INC.,"San Antonio, TX 78209",
076782,"BLUE RIDGE RESOURCES, LLC","Midland, TX 79710",
076859,"BLUFF CREEK PETROLEUM, LLC","Abilene, TX 79603",38
077587,"BO DUNAGIN OPERATING, LLC","Merkel, TX 79536",
078050,"BOB HUGHES OIL COMPANY, LLC","San Angelo, TX 76901",28
078680,BOHANAN OIL CO.,"Gordonville, TX 76245",
081550,"BOMAR OIL & GAS, INC.","Dallas, TX 75206",
082597,BOONDOCKS SOLUTIONS LLC,"Tomball, TX 77375",
082975,"BORDEN, J. D.","Abilene, TX 79603",
082992,"BORDEN, ROLAND","Abilene, TX 79606",
082982,"BORDEN, ROLAND INC.","Abilene, TX 79608",
083041,"BORDERS, DELBERT L. INC.","Wichita Falls, TX 76307",
085370,BP PROD. CORP.,"Richardson, TX 75083",
088607,"BRAMMER SUPPLY, INC.","Gainesville, TX 76240",
088609,BRANCH PRODUCTIONS,"Graham, TX 76450",
088623,"BRANDT, BODIE","Iowa Park, TX 76367",
089974,BRECK OPERATING CORP.,"Breckenridge, TX 76424",
090731,BREITLING OIL AND GAS CORP,"Dallas, TX 75201",
090727,BREITLING OPERATING CORPORATION,"Dallas, TX 75201",
091162,"BRIDGER PETROLEUM, LLC","Abilene, TX 79602",
092480,BRIDWELL OIL CO.,"Wichita Falls, TX 76307",128
093414,"BRINSON, DOLAN A.","Jayton, TX 79528",
093548,BRISTOL RESOURCES CORPORATION,"Tulsa, OK 74170",
094170,BRITTANY DRILLING CO.,"Abilene, TX 79604",
095340,BROCK OIL & GAS CORPORATION,"Tulsa, OK 74103",
095725,"BROCK RESOURCES, INC.","New Orleans, LA 70112",
101395,BROWN OWL OIL CO.,"Abilene, TX 79606",
104229,"BRUSHY CREEK OIL COMPANY, INC.","Dallas, TX 75240",
106374,BUFFALO GAP PRODUCTION INC,"Odessa, TX 79761",
106513,"BULLET DEVELOPMENT, LLC","Abilene, TX 79601",19
108069,"BURGER, F.W. INC.","Abilene, TX 79604",
108066,"BURGER, F.W. INC. & L.G. RHODES","Abilene, TX 79604",
108067,"BURGER, FW INC-RICHARDSON,JC JR.","Abilene, TX 79604",
108800,BURK ROYALTY COMPANY,"Wichita Falls, TX 76308",
110016,"BURNETT OIL CO., INC.","Fort Worth, TX 76102",7
110504,"BURNING DAYLIGHT, INC.","Fort Worth, TX 76107",
111014,"BURNS OIL COMPANY, INC.","Houston, TX 77029",
111019,"BURNS, P. C. OIL PRODUCERS INC.","Wichita Falls, TX 76308",
111065,"BURNT ROCK ENERGY, LLC","Roscoe, TX 79545",
112691,BUSTAMANTE OIL CO,"Midland, TX 79710",
112685,BUSTAMANTE OIL COMPANY,"Midland, TX 79710",24
112682,BUSTAMANTE RESOURCES LLC,"Midland, TX 79710",30
119795,BYRNE OIL COMPANY,"Lubbock, TX 79424",10
120104,"C & C PETROLEUM MANAGEMENT, LLC","Abilene, TX 79601",
120568,C & L OPERATING COMPANY,"Abilene, TX 79603",
120775,"C & R WELL SERVICE, INC.","Abilene, TX 79605",
119843,"C.A.S. SERVICES, INC.","Eastland, TX 76448",
121048,C.J.C. OPERATING,"Abilene, TX 79605",
121217,"CA-TEX PETROLEUM, INC.","Houston, TX 77058",
121700,CABOT OIL & GAS CORPORATION,"Houston, TX 77024",
123555,CALBRO OIL & GAS INC.,"Abilene, TX 79605",
123867,"CALIFORNIA-T.D. AND ASSOC., INC.","Yorba Linda, CA 92886",
124795,"CALLINCO, INC.","Abilene, TX 79601",
126090,CALUMET CORP.,"Dallas, TX 75206",
129675,CAN-TEX ENERGY CORP.,"Dallas, TX 75231",
