Operator Number,Operator Name,Location,Leases
000151,A A PRODUCTION INC.,"Midland, TX 79701",
007937,"ADKINS, R. L. CORP.","Lubbock, TX 79408",
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",
008390,ADOBE OIL CO.,"Unknown, XX 99999",
008398,ADOBE RESOURCES CORPORATION,"Houston, TX 77057",
012190,ALEXANDER ENERGY CORPORATION,"Dallas, TX 75206",
012368,"ALEXANDER RESOURCES, INC.","Abilene, TX 79608",
015726,ALTURA ENERGY LTD.,"Houston, TX 77210",
016563,AMARALA PETROLEUM INC.,"Amarillo, TX 79101",
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",
018008,"AMERICAN COMETRA, INC.","Fort Worth, TX 76102",
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",
018856,AMERICAN NATIONAL PETROLEUM CO.,"Houston, TX 77057",
018874,AMERICAN OPERATING COMPANY (A),"Dallas, TX 75244",
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",
019250,AMERICAN QUASAR PETROLEUM CO.,"Fort Worth, TX 76102",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
025642,ANSCHUTZ EXPLORATION CORPORATION,"Denver, CO 80202",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
028631,"AQUEOUS OPERATING, LLC","Lubbock, TX 79408",
028723,ARATEX PRODUCTION COMPANY,"Denver, CO 80202",
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
035633,ATAPCO,"Houston, TX 77040",
037095,AUSTEX PETROLEUM CORP.,"Fort Worth, TX 76109",
048169,"BALLARD EXPLORATION COMPANY,INC.","Houston, TX 77002",26
049280,BARJ OIL CO.,"Brownfield, TX 79316",
053106,"BARRETT BROTHERS OIL & GAS, INC.","San Antonio, TX 78217",
053014,"BARRETT, BILL CORPORATION","Denver, CO 80202",
054378,BASIN ENGINEERING-TEXAS LLC,"Oklahoma City, OK 73106",
054430,"BASIN OIL & GAS OPERATING, LLC","Fort Worth, TX 76107",110
054700,BASS ENTERPRISES PRODUCTION CO.,"Fort Worth, TX 76102",
058832,"BAYLOR OPERATING, LLC","Austin, TX 78766",10
058873,"BAYTECH, INC.","Midland, TX 79702",
058893,"BC OPERATING, INC.","Midland, TX 79710",
040206,"BCP RESOURCES, LLC","Midland, TX 79705",56
058915,"BEACH EXPLORATION, INC.","Midland, TX 79701",26
062673,BELCO ENERGY CORP.,"Dallas, TX 75231",
072564,BISON PETROLEUM CORPORATION,"Amarillo, TX 79121",
076382,BLOWING SAND OPERATING L.L.C.,"Levelland, TX 79336",
076782,"BLUE RIDGE RESOURCES, LLC","Midland, TX 79710",
078032,"BOAZ ENERGY II OPERATING, LLC","Midland, TX 79705",93
084545,BOYD & MCWILLIAMS ENERGY GROUP,"Midland, TX 79701",5
040798,BP AMERICA PRODUCTION COMPANY,"Denver, CO 80202",
089939,"BRAZOS PETROLEUM, INC.","Graham, TX 76450",
089974,BRECK OPERATING CORP.,"Breckenridge, TX 76424",
090732,BREITBURN OPERATING L.P.,"Houston, TX 77002",38
091093,"BRIDGE OIL COMPANY, L. P.","Midland, TX 79702",
092480,BRIDWELL OIL CO.,"Wichita Falls, TX 76307",128
092800,"BRIGHAM OIL & GAS, L.P.","Austin, TX 78730",
094630,BRITTON MANAGEMENT CORP.,"Midland, TX 79701",
095300,"BROCK, G.W., INC.","Midland, TX 79701",
100268,"BROWN, H. L., JR.","Midland, TX 79702",
102550,"BROWN, TOM INC.","Dallas, TX 75240",
041860,BTA OIL PRODUCERS,"Midland, TX 79701",
106531,"BULLIN, R. E. OPERATING INC.","Levelland, TX 79336",20
108799,"BURK ROYALTY CO., LTD.","Wichita Falls, TX 76308",1014
110016,"BURNETT OIL CO., INC.","Fort Worth, TX 76102",7
111013,BURNS OPERATING,"Wichita Falls, TX 76307",
110495,"BURNS, BILL C.","Midland, TX 79701",
118748,BYRD OPERATING COMPANY,"Midland, TX 79702",15
120089,"C & F PETROLEUM, INC.","San Angelo, TX 76902",
126764,CAMBRIAN MANAGEMENT LTD,"Midland, TX 79702",
126758,"CAMBRIAN MANAGEMENT, LTD.","McCaulley, TX 79534",8
127700,CAMPANA PETROLEUM COMPANY,"Midland, TX 79705",
129008,"CANAN MOWREY OPERATING, LLC","Wichita Falls, TX 76308",29
130550,"CAPSTONE NATURAL RES II, LLC","Tulsa, OK 74170",
130545,CAPTUREPOINT LLC,"Allen, TX 75013",12
130750,CARAVELLE INC.,"Dallas, TX 75225",
132340,CARLOW CORP.,"Midland, TX 79702",
139927,CATFISH MINERALS LLC,"Dallas, TX 75240",
141233,"CENTRAL RESOURCES, INC.","Denver, CO 80203",
143750,CHAMPLIN PETROLEUM CO.,"Houston, TX 77002",
146678,"CHASE ENERGY, INC.","Austin, TX 78763",
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
148113,CHEVRON U. S. A. INC.,"Midland, TX 79706",868
149441,"CHISOS OPERATING, INC.","Midland, TX 79702",
150683,"CHOLLA PETROLEUM, INC.","Dallas, TX 75225",95
153429,CIMAREX ENERGY CO. OF COLORADO,"Midland, TX 79706",
154235,CITATION OIL & GAS CORP.,"Houston, TX 77269",132
154255,CITIES SERVICE COMPANY,"Midland, TX 79710",
154375,CITIES SERVICE OIL & GAS CORP.,"Tulsa, OK 74102",
159655,CLEARY PETROLEUM CORP.,"Unknown, XX 99999",
161397,CNG PRODUCING COMPANY,"New Orleans, LA 70112",
161639,COASTAL OIL & GAS CORPORATION,"Houston, TX 77252",
164448,"CODA ENERGY, INC.","Dallas, TX 75231",
166060,"COFFMAN, THOMAS D.","Austin, TX 78767",
166150,COG OPERATING LLC,"Midland, TX 79701",1312
167350,COLINE OIL CORP.,"Amarillo, TX 79101",
168348,"COLLINS & WARE, INC.","Midland, TX 79701",
169127,"COLTER OPERATING, INC.","Marble Falls, TX 78654",
169230,COLUMBIA GAS DEVELOPMENT CORP.,"Houston, TX 77251",
170181,CONCHO RESOURCES INC.,"Oklahoma City, OK 73154",
170775,"CONE, S. E. JR.","Lubbock, TX 79408",
172235,CONQUEST EXPLORATION COMPANY,"Houston, TX 77010",
173649,"CONTINENTAL EXPLORATION, L.L.C.","Lufkin, TX 75915",
173785,"CONTINENTAL U S EXPLORATION, INC","Dallas, TX 75220",
177570,COQUINA OIL CORPORATION,"Houston, TX 77227",
180351,"CORY, KENNETH W. LTD.","Bellaire, TX 77401",2
180543,"COSTILLA ENERGY, INC.","Midland, TX 79702",
180545,COSTILLA PETROLEUM CORPORATION,"Midland, TX 79702",
182057,COTTON PETROLEUM CORP.,"Tulsa, OK 74102",
186355,"CR3 OPERATING COMPANY, L.L.C.","Houston, TX 77251",
120803,CREY OIL & GAS LLC,"Sundown, TX 79372",2
190469,"CROSS TIMBERS ENERGY, LLC","Fort Worth, TX 76102",56
190468,CROSS TIMBERS OPERATING COMPANY,"Fort Worth, TX 76102",
190674,"CROSSFOOT OPERATING, LLC","Houston, TX 77227",
191595,CRUMP PETROLEUM CORPORATION,"Midland, TX 79702",
196082,"D C OIL COMPANY, INC.","Sundown, TX 79372",2
215330,"DENALI EXPLORATION, INC.","Amarillo, TX 79109",
216427,DENTON RESOURCES LLC,"Midland, TX 79710",
216468,"DEPCO, INC.","Denver, CO 80202",
216532,"DESANA CORPORATION, THE","Greenwood VLG, CO 80111",
216735,DEVON ENERGY CORPORATION(NEVADA),"Oklahoma City, OK 73102",
216378,"DEVON ENERGY PRODUCTION CO, L.P.","Oklahoma City, OK 73102",693
216738,"DEVON SFS OPERATING, INC.","Oklahoma City, OK 73102",
216805,"DHW WELL SERVICE, INC.","Carrizo SPGS, TX 78834",
216990,DIAMOND CHEMICALS COMPANY,"Amarillo, TX 79173",
217005,DIAMOND S ENERGY COMPANY,"Fort Worth, TX 76132",90
216995,DIAMOND SHAMROCK EXPLORATION CO.,"Amarillo, TX 79173",
220692,"DIMMIT COUNTY SWD, LLC","Carrizo SPGS, TX 78834",
220711,DINERO OPERATING COMPANY,"Midland, TX 79702",2
222287,"DOMINION OPERATING, LLC","Midland, TX 79708",
224791,DOUBLE BARREL OIL LLC,"Brenham, TX 77834",20
232295,"DUNCAN OIL PROPERTIES, INC.","Oklahoma City, OK 73102",7
232888,DUNE PETROLEUM CORPORATION,"Midland, TX 79702",
233895,"DUNIGAN OPERATING COMPANY, INC.","Austin, TX 78755",1
236330,"DURHAM, INC.","Midland, TX 79701",
237600,DYCO PETROLEUM CORPORATION,"Tulsa, OK 74103",
238558,E.G. OPERATING,"Dallas, TX 75206",
238634,EAGLE OIL & GAS CO.,"Dallas, TX 75225",76
241350,ECLIPSE PETROLEUM CORPORATION,"La Grange, TX 78945",
238461,"EF OIL AND GAS INVEST, L.L.C.","Beaver, OK 73932",1
247680,"ELEMENT PETROLEUM OPERATING, LLC","Midland, TX 79701",
251535,EMPRESA ENERGY LLC,"Houston, TX 77024",
251726,ENDEAVOR ENERGY RESOURCES L.P.,"Midland, TX 79701",1182
252002,ENERGEN RESOURCES CORPORATION,"Midland, TX 79701",
251955,ENERGY DEVELOPMENT CORP.,"Houston, TX 77067",
251970,ENERGY PRODUCTION CO.,"Dallas, TX 75231",
253210,"ENSERCH EXPLORATION, INC","Dallas, TX 75206",
254440,"ESTACADO ENERGY, INC.","Austin, TX 78716",
254548,"ESTEP OPERATING, LLC","Seminole, TX 79360",
254850,ESTORIL PRODUCING CORPORATION,"Midland, TX 79701",
256931,"EXCO RESOURCES, INC.","Dallas, TX 75251",
257062,EXTEX OPERATING COMPANY,"Houston, TX 77057",486
257097,EXXON CORP.,"Houston, TX 77210",
257128,EXXON MOBIL CORPORATION,"Spring, TX 77389",
257680,FAGADAU ENERGY CORPORATION,"Dallas, TX 75206",
263696,"FASKEN OIL AND RANCH, LTD.","Midland, TX 79707",191
268602,"FINLEY RESOURCES, INC.","Fort Worth, TX 76113",17
271567,FIVESTONES ENERGY LLC,"Midland, TX 79710",25
273996,FLORIDA EXPLORATION CO.,"Midland, TX 79702",
273990,FLORIDA GAS EXPLORATION COMPANY,"Midland, TX 79701",
274230,FLOYD OPERATING COMPANY,"Houston, TX 77002",
275740,FOREST OIL CORPORATION,"Houston, TX 77002",
288580,FULLER OPERATING COMPANY,"Lubbock, TX 79408",
292356,"GAEA SERVICES, INC.","San Antonio, TX 78216",
298459,GECKO,"Dallas, TX 75205",
300756,GEODYNE OPERATING COMPANY,"Tulsa, OK 74103",
302450,GETTY OIL CO.,"Midland, TX 79702",
304288,"GIEBEL, AARON F.","Midland, TX 79701",
324140,"GRAHAM ROYALTY, LTD.","Covington, LA 70434",
328780,GREAT WESTERN DRILLING COMPANY,"Midland, TX 79701",2
333925,GRIFFIN PETROLEUM COMPANY,"Midland, TX 79705",2
337106,GRUY PETROLEUM MANAGEMENT CO.,"Irving, TX 75014",
337080,"GTG OPERATING, LLC","Tyler, TX 75702",98
338130,GULF OIL CORP.,"Houston, TX 77252",
341428,H & O OPERATING CO,"Odessa, TX 79764",
344251,"HALBOUTY, MICHEL T. ENERGY CO.","Houston, TX 77056",
347243,HALVEY ENERGY CO.,"Midland, TX 79702",
351730,"HAMON, JAKE L.","Dallas, TX 75201",
355347,HANSON CORPORATION,"New Braunfels, TX 78132",
363117,HARVEST PETROLEUM INC.,"Frisco, TX 75033",15
378256,"HENDRIX, JOHN H. CORPORATION","Midland, TX 79705",
378642,HENRY PETROLEUM LP,"Midland, TX 79701",
379893,"HERNDON, H.W. OIL COMPANY","Fort Worth, TX 76102",
383100,"HEWITT, ALAN P.","Midland, TX 79702",
385847,"HIGHMARK ENERGY OPERATING, LLC","Poynor, TX 75782",329
388770,HILLIN PROD. CO.,"Odessa, TX 79760",
403715,HOUSTON OIL & MINERALS CORP.,"Houston, TX 77002",
407785,HRUBETZ OIL COMPANY,"Dallas, TX 75225",
408850,"HUBER, J. M., CORPORATION","Edison, NJ 08837",
421495,"HYQUEST ENERGY, INC.","Midland, TX 79710",
424350,"INGRAM, J. OIL & GAS, INC.","Plano, TX 75074",2
424752,"INNOVO RESOURCES GROUP, INC.","Richardson, TX 75080",
425610,INTRAMERICAN OIL & MINERALS INC,"Dallas, TX 75225",
427319,"JAFFE ENERGY, LLC","Horseshoe Bay, TX 78657",
431080,JEM PETROLEUM CORPORATION,"Jackson, MI 49204",
443122,"JONES, L. E. OPERATING, INC.","Duncan, OK 73534",26
445469,"JOPLIN OIL CO., INC.","Lubbock, TX 79423",8
447850,"JOURNEY OPERATING, L.L.C.","Sugar Land, TX 77496",
448052,"JTL OPERATING CO., INC","Katy, TX 77450",1
448610,"K.W.A., INC.","Midland, TX 79702",
450240,KALA OIL COMPANY,"Sundown, TX 79372",1
451075,"KARICO GP, LLC","Midland, TX 79705",1
452681,"KC RESOURCES, INC.","Snowmass VLG., CO 81615",
455126,"KEM ENERGY, INC.","Katy, TX 77450",16
455778,KENAI OIL AND GAS INC.,"Denver, CO 80203",
457000,"KENNEDY & MITCHELL, INC.","Houston, TX 77084",
457780,KERR-MCGEE CORPORATION,"Dallas, TX 75380",
461550,"KILROY COMPANY OF TEXAS, INC.","Houston, TX 77010",
463318,KINDER MORGAN PRODUCTION CO LP,"Midland, TX 79701",
465296,KING OPERATING CORPORATION,"Fort Worth, TX 76147",43
469893,KLABZUBA OPERATING COMPANY,"Fort Worth, TX 76102",
479410,L & B OIL CO. INC.,"Houston, TX 77002",
480879,"LACY & BYRD, INC.","Midland, TX 79702",
480930,"LACY, R., INC.","Longview, TX 75606",
480955,LADD PETROLEUM CORP.,"Houston, TX 77242",
482325,LAGUNA PETROLEUM CO.,"Midland, TX 79702",
483615,"LAKEWOOD OPERATING, LTD.","Midland, TX 79702",
484680,"LANDRETH, ROBERT E.","Midland, TX 79701",
485440,LANKFORD OIL CO.,"Weatherford, TX 76086",
486686,LARIAT PETROLEUM INC. (A),"Tulsa, OK 74119",
491403,"LAYTON EXPLORATION, INC.","Odessa, TX 79760",
495714,LEIGH OPERATING CO.,"Dallas, TX 75205",
500803,LIMARK CORPORATION,"Midland, TX 79702",
501556,"LINKEE OPERATING, INC.","Sundown, TX 79372",
503642,"LITTLE OIL & GAS, INC.","San Antonio, TX 78217",
504150,"LIVERMORE, MARY LOUISE ESTATE","Lubbock, TX 79408",
506010,LOGUE AND PATTERSON INC.,"Dallas, TX 75225",
506155,LOMAK PRODUCTION COMPANY,"Fort Worth, TX 76102",
