Operator Number,Operator Name,Location,Leases
003539,ACE PRODUCTIONS,"Beaumont, TX 77707",
007859,"ADDISON OIL, LLC","Addison, TX 75001",
009770,"ALADDIN ENERGY, INC.","Richardson, TX 75080",
015141,"ALPINE RESOURCES, INC.","Houston, TX 77002",
018007,"AMERICAN COASTAL ENERGY, INC.","Houston, TX 77225",
020449,"AMORAH, L.L.C.","Sugar Land, TX 77478",
020467,AMPLIFY ENERGY OPERATING LLC,"Houston, TX 77002",498
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",
020528,ANADARKO E&P ONSHORE LLC,"Houston, TX 77046",940
022548,"ANDERSON PETRO-EQUIPMENT, INC.","Montgomery, TX 77356",
023900,ANDOVER OIL COMPANY,"Tulsa, OK 74136",
028734,"ARCADIA OPERATING, LLC","Dallas, TX 75219",46
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
030300,"ARISTA NOVELTY, INC.","Houston, TX 77256",
035643,"ATASCA RESOURCES, INC.","Houston, TX 77219",
036550,ATLANTIC RICHFIELD CO.,"Houston, TX 77252",
036795,AUDEN OIL INC.,"Hardin, TX 77561",
037680,AUSTRAL OIL COMPANY INCORPORATED,"Sulphur, LA 70663",
038690,AVIARA ENERGY CORPORATION,"Dallas, TX 75201",
041864,"B.W.O.C., INC.","Plano, TX 75026",
048169,"BALLARD EXPLORATION COMPANY,INC.","Houston, TX 77002",26
056580,"BAXTER, MURPHY H.","Houston, TX 77002",
058908,"BBX OPERATING, L.L.C.","Austin, TX 78738",
061754,BEECH CREEK DISPOSAL,"Silsbee, TX 77656",
069160,"BIG ""6"" DRILLING COMPANY","Houston, TX 77063",
070370,BIG RUN PRODUCTION COMPANY,"Tyler, TX 75701",15
072721,BLACK STONE ENERGY COMPANY,"Houston, TX 77002",
072716,"BLACK STONE ENERGY COMPANY, LLC","Houston, TX 77002",
076781,"BLUE RIDGE GROUP, INC.","Bowling Green, KY 42101",
078010,BOCK & BACON,"Houston, TX 77098",
078025,"BOCK & BACON, INC.","Houston, TX 77098",
082570,"BOOHER ENGINEERING, INC.","Tyler, TX 75711",2
088595,"BRAMMER ENGINEERING, INC.","Shreveport, LA 71101",9
106406,BUFFCO PRODUCTION INC.,"Longview, TX 75606",163
108799,"BURK ROYALTY CO., LTD.","Wichita Falls, TX 76308",1014
120530,"C & K PETROLEUM, INC.","Midland, TX 79702",
124824,CALLON PETROLEUM CO.,"Natchez, MS 39120",
130478,CAPROCK OPERATIONS INC.,"Odessa, TX 79762",
139582,CASHCO OIL COMPANY,"Houston, TX 77024",
