Operator Number,Operator Name,Location,Leases
953637,1988 INDEXGEO JV,"Houston, TX 77002",
953828,2 D OIL & GAS LLC,"Refugio, TX 78377",1
856467,84 ENERGY LLC,"Flatonia, TX 78941",141
000578,A & R RESOURCES,"Corpus Chrsti, TX 78411",
000458,"A-G-B, INC.","Houston, TX 77084",
000555,"A.O.E. OPERATORS, INC.","Fulshear, TX 77441",
000894,"ABACO OPERATING, LLC","San Antonio, TX 78209",26
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",18
003594,"ACOCK ENGINEERING & ASSOC., INC.","Corpus Chrsti, TX 78401",
003595,ACOCK ENGINEERING & OPERATING CO,"Corpus Chrsti, TX 78463",
003598,"ACOCK/ANAQUA OPERATING CO., LC","Corpus Chrsti, TX 78401",
003599,"ACOCK/ANAQUA OPERATING CO., LP","Corpus Chrsti, TX 78401",
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",
000222,"ADS OPERATING, INC.","Houston, TX 77257",
008529,AEGEAN OIL CORP.,"Houston, TX 77218",
008725,"AGOIL, INC.","Victoria, TX 77901",
009105,AIKMAN OIL CORP.,"Oklahoma City, OK 73157",
010070,ALAMO PET. CO.,"Houston, TX 77042",
011160,"ALBRECHT, PHIL A., JR.","Victoria, TX 77901",
011285,ALCORN PROD CO.,"Victoria, TX 77902",
100397,"Aldine Oil and Gas, LP","Houston, TX 77060",112
011441,"ALEGRE ENERGY, INC.","San Antonio, TX 78216",
013230,"ALL AM, INC.","Houston, TX 77057",
013365,"ALLEGIANT RESOURCES, LLC","Lafayette, LA 70503",48
013305,"ALLEGRO INVESTMENTS, INC.","Victoria, TX 77903",
014155,ALLIANCE EXPLORATION CORPORATION,"Houston, TX 77002",
015141,"ALPINE RESOURCES, INC.","Houston, TX 77002",
015721,"ALTA MESA SERVICES, LP","Houston, TX 77084",
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",
016886,AMBRIT ENERGY CORP.,"Garland, TX 75044",
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",
018007,"AMERICAN COASTAL ENERGY, INC.","Houston, TX 77225",
018008,"AMERICAN COMETRA, INC.","Fort Worth, TX 76102",
017999,"AMERICAN DISPOSAL SERVICES, INC.","Sealy, TX 77474",
017995,"AMERICAN DISPOSAL SERVICES,LTD","Marble Falls, TX 78654",
