Operator Number,Operator Name,Location,Leases
953627,20TH CENTURY PIPE & EQUIP.CO.INC,"Midland, TX 79702",
953592,3TEC ENERGY CORPORATION,"Houston, TX 77002",
100604,"4020 SWD, LLC","Pearsall, TX 78061",
000195,A & D COGENERATION COMPANY,"Houston, TX 77257",
000894,"ABACO OPERATING, LLC","San Antonio, TX 78209",26
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",18
003594,"ACOCK ENGINEERING & ASSOC., INC.","Corpus Chrsti, TX 78401",
003596,ACOCK OPERATING LIMITED,"San Antonio, TX 78270",
003598,"ACOCK/ANAQUA OPERATING CO., LC","Corpus Chrsti, TX 78401",
003599,"ACOCK/ANAQUA OPERATING CO., LP","Corpus Chrsti, TX 78401",
008625,"AGERON ENERGY, LLC","San Antonio, TX 78209",27
008632,"AGERON IRONROC ENERGY, LLC","The Woodlands, TX 77381",
008900,AIKINS-OWENS,"Wichita, KS 67278",
009500,"AKERS, BILL","Hebbronville, TX 78361",
010450,"ALARON ENERGY, INC.","Irving, TX 75038",
011200,ALCO DRLG. CO.,"Freer, TX 78357",
100397,"Aldine Oil and Gas, LP","Houston, TX 77060",112
011445,"ALEGRE ENERGY OPERATING, LP","San Antonio, TX 78216",
011441,"ALEGRE ENERGY, INC.","San Antonio, TX 78216",
014120,"ALLERKAMP, ERNEST E.","Cotulla, TX 78014",
015745,"ALTEX PETROLEUM, INC.","Pasadena, TX 77506",
016541,ALYNDSON OIL & GAS INC.,"Alice, TX 78333",
016886,AMBRIT ENERGY CORP.,"Garland, TX 75044",
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",
020215,AMINOIL USA INC.,"Midland, TX 79701",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020467,AMPLIFY ENERGY OPERATING LLC,"Houston, TX 77002",498
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",
020528,ANADARKO E&P ONSHORE LLC,"Houston, TX 77046",940
025691,"ANTARA RESOURCES, INC.","Houston, TX 77002",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
028664,AQUITAINE MINING CORP.,"Golden, CO 80403",
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
029652,"ARETE OPERATING COMPANY II, LLC","Austin, TX 78746",58
029656,"ARETE OPERATING COMPANY III, LLC","Austin, TX 78746",8
029657,"ARETE OPERATING COMPANY, LLC","Austin, TX 78746",45
033895,"ASCEND OIL & GAS, L.L.C.","Kilgore, TX 75663",
033892,"ASCENDANCE ENERGY PARTNERS, LLC","Hebbronville, TX 78361",
034241,ASHER RESOURCES,"Boerne, TX 78006",
035631,"ASTRO PRODUCTION, INC.","San Antonio, TX 78216",
035643,"ATASCA RESOURCES, INC.","Houston, TX 77219",
036059,"ATINUM OPERATING, INC.","Houston, TX 77002",
037057,AUSTIN RESOURCES CORPORATION,"Houston, TX 77027",
037061,AUSTIN RESOURCES OPER COMPANY,"Houston, TX 77019",
037720,"AUTEN OPERATING COMPANY, INC.","Houston, TX 77242",
038889,AWP OPERATING COMPANY,"George West, TX 78022",35
039141,"AXIO PRODUCTION COMPANY, L.P.","Tulsa, OK 74103",
039791,"B & B OIL, INC.","Kerrville, TX 78028",
040753,"B & M OPERATING CO., INC.","Houston, TX 77006",
041155,B & R OIL & GAS,"Borger, TX 79008",
042858,"BAHIA OIL & GAS, INC.","Corpus Chrsti, TX 78412",
043200,"BAILEY, D. E. PRODUCTION CO.","Friendswood, TX 77546",
046945,"BAKER, TERSH-BAKER PETROLEUM CO.","Corpus Chrsti, TX 78403",
048540,BANNON ENERGY INCORPORATED,"Houston, TX 77068",
049751,"BAR M PETROLEUM CO., INC.","San Antonio, TX 78217",
052210,BARNHART CO.,"Houston, TX 77056",
053106,"BARRETT BROTHERS OIL & GAS, INC.","San Antonio, TX 78217",
053224,"BARRIER RESOURCES,L.L.C.","Cedar Park, TX 78613",
053974,"BASA RESOURCES, INC.","Dallas, TX 75254",754
054337,"BASIC EARTH SCIENCE SYSTEMS,INC.","Austin, TX 78714",
056381,"BATTLECAT OIL & GAS, LLC","Houston, TX 77082",
056536,"BAXTER, KELLY H. OIL AND GAS CO.","Austin, TX 78767",
057860,BAY ROCK OPERATING COMPANY,"San Antonio, TX 78212",19
058867,BAYSIDE PETROLEUM CORP.,"San Antonio, TX 78217",
059120,BEACON EXPLORATION COMPANY,"Tulsa, OK 74103",
063744,"BELLOWS, DEWEY OPER. CO., LTD.","Refugio, TX 78377",
063865,BELLWETHER EXPLORATION COMPANY,"Houston, TX 77010",
070868,"BILLINGS, L. CHARLES","New Braunfels, TX 78130",
072523,"BISON ENERGY PARTNERS, INC.","Houston, TX 77060",
072519,"BISON ENERGY PARTNERS, LTD.","Houston, TX 77060",
072720,BLACK MARLIN PIPELINE COMPANY,"Houston, TX 77002",
073056,"BLACKBEARD OPERATING, LLC","Fort Worth, TX 76107",255
