Operator Number,Operator Name,Location,Leases
953828,2 D OIL & GAS LLC,"Refugio, TX 78377",1
003596,ACOCK OPERATING LIMITED,"San Antonio, TX 78270",
003598,"ACOCK/ANAQUA OPERATING CO., LC","Corpus Chrsti, TX 78401",
003599,"ACOCK/ANAQUA OPERATING CO., LP","Corpus Chrsti, TX 78401",
007915,ADJ COMPANY,"San Antonio, TX 78217",
008742,AGUA LIBRE MIDSTREAM LLC,"Fort Worth, TX 76102",
011441,"ALEGRE ENERGY, INC.","San Antonio, TX 78216",
100111,Altalay STX LLC,"San Juan, PR 00968",3
016541,ALYNDSON OIL & GAS INC.,"Alice, TX 78333",
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",
022497,ANDERSON OIL CORPORATION,"Corpus Chrsti, TX 78403",
025637,ANR PRODUCTION COMPANY,"Houston, TX 77046",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
029657,"ARETE OPERATING COMPANY, LLC","Austin, TX 78746",45
029710,ARGENT ENERGY (US) HOLDINGS INC.,"Sugar Land, TX 77479",
033735,ARTHUR & ARTHUR INC.,"Oldfort, TN 37362",
033762,"ARUBA PETROLEUM, INC.","Dallas, TX 75379",
033895,"ASCEND OIL & GAS, L.L.C.","Kilgore, TX 75663",
033892,"ASCENDANCE ENERGY PARTNERS, LLC","Hebbronville, TX 78361",
035643,"ATASCA RESOURCES, INC.","Houston, TX 77219",
036587,ATLAS OPERATING LLC,"Houston, TX 77056",258
052966,"BARON CO., INC. THE","Houston, TX 77027",
052965,"BARON CO., THE","Houston, TX 77027",
054313,"BASIC ENERGY SERVICES, L.P.","Fort Worth, TX 76102",
056536,"BAXTER, KELLY H. OIL AND GAS CO.","Austin, TX 78767",
057860,BAY ROCK OPERATING COMPANY,"San Antonio, TX 78212",19
058896,BDR ENERGY CORPORATION,"Corpus Chrsti, TX 78463",
100412,"Beaver Oil & Gas Operating, LLC","Austin, TX 78746",13
061750,"BEEHIVE OPERATING, LLC","Graham, TX 76450",74
063857,"BELLOWS OPERATING CO., L. C.","Goliad, TX 77963",
063744,"BELLOWS, DEWEY OPER. CO., LTD.","Refugio, TX 78377",
063865,BELLWETHER EXPLORATION COMPANY,"Houston, TX 77010",
040376,"BES, ENVIRONMENTAL SERVICES,INC.","Kingsville, TX 78364",
068360,"BETTIS, BOYLE & STOVALL","Graham, TX 76450",
068418,"BEVERS, HARRY L","Odessa, TX 79760",
068475,BFD ENERGY CORPORATION,"Georgetown, TX 78628",
072523,"BISON ENERGY PARTNERS, INC.","Houston, TX 77060",
